Year,Mean_kerala,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1889,5082,1698.4856923128,-4150.8088542074,4660.7924523501,1538.2316800336,346.0938685895,-4975.5839477816,5003.7440553459,-4101.4642140296,-4789.767254576,2932.1510629286,-2025.7684260834,4843.6109772092,-5070.201478652,1034.5474269353,-888.4083681455,-3000.7857805973
1890,3656.5,3013.6566690022,-3492.0930586259,3583.1227543637,548.2490224042,704.0394805601,-3638.1094404464,3642.9855603191,-2772.6039025094,-2070.7162363247,1084.1025412279,-728.8508607123,3615.1646241123,-3588.0803586058,366.2675925257,-314.0835196359,-2383.8330163393
1891,4128.75,4127.3570348415,-4128.4017440229,4128.5952183568,-26.8128874392,1296.2372052792,-4128.7113044079,4128.7215705736,-2909.9718944936,107.2402417212,-53.6246440463,35.7503211322,4128.6629350877,-3919.9930701661,-17.8753280978,15.3217224973,-2928.9315689783
1892,4946.5,3925.8922044381,-4684.404339895,4829.4342448722,-805.1261338168,2129.0574434154,-4917.1464663085,4924.9284723782,-3200.4144910523,3009.1913613348,-1588.7788487934,1069.7790072982,4880.5362572821,-4464.8602052738,-538.0825948401,461.4561647204,-3771.6321845406
1893,3809,1084.882075919,-3052.9327561523,3466.4846536075,-1199.9708604412,2057.2368221695,-3722.3864015972,3745.3012178235,-2229.1020605369,3651.2342955978,-2277.7362855283,1578.5959414314,3615.0450805062,-3205.660252976,-807.6635916051,693.685654868,-3088.6218615606
1894,4131.25,-1374.5267881916,-2386.2850593321,3321.8824308803,-1898.5371225149,2649.2543249474,-3923.6942640243,3978.4175520391,-2147.5445368037,3895.8827845616,-3372.3686302224,2456.0789233876,3669.1665752502,-3169.9649973221,-1293.000342213,1113.2925689716,-3529.2037380895
1895,3852,-3171.3078438622,-1144.9948003032,2553.8326008821,-2283.3510493606,2820.980481605,-3512.496774276,3601.5778233584,-1738.1650896654,2186.4836060346,-3677.892182661,2883.7203482085,3102.2914088435,-2622.970286222,-1581.2243391439,1366.2141787775,-3437.540708278
1896,5341,-5339.4122165398,65.1166317504,2632.8161635963,-3799.6097780022,4336.2185397038,-4614.550472677,4803.9730442864,-2028.8623876067,-130.2235841381,-5340.6030393832,4646.994733019,3753.5645105567,-3118.2510764736,-2689.2759127907,2334.121674157,-4940.6475701222
1897,6417,-5099.1958804183,2056.252542291,1933.9415643361,-5214.0608724813,5638.0742145518,-5176.2917237316,5497.318086872,-1964.5941541814,-3895.6501861853,-6078.6276808439,6118.6402922327,3740.5157689896,-3064.3120192314,-3792.6103136003,3310.1937785801,-6108.867228002
1898,3939.5,-1128.064136758,2353.2585475508,380.764065129,-3520.6762346229,3669.7009011192,-2917.1630297753,3179.2486092712,-908.2830571202,-3774.5372634749,-3159.4041302719,3921.0558497306,1767.6252716461,-1432.8138561325,-2647.6064865671,2326.3788449965,-3833.3643367346
1899,2964,981.7128564732,2418.1700629388,-332.8334314733,-2824.2478703675,2874.3028976545,-1974.6870269885,2225.5643332164,-455.0963152074,-2796.7008898764,-1713.9864488107,2945.2534537614,899.399781368,-723.656584669,-2210.4088186224,1957.5902019358,-2928.8535886733
