Year,Mean_kerala,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1969,4624.25,1433.9473772866,-3742.6340471597,-3740.071363636,1427.727664844,-2948.4141599185,1429.8012203111,3481.8988666646,-3740.7123463757,-4396.3033313994,2715.9489044423,-2719.4768352405,4398.3271567198,3562.3787002636,-4397.6535257904,3043.0360406705,-2718.5950791121
1970,4723.5,3823.6477712437,-4492.9084398344,-3159.6870076824,737.9699297541,-3443.8090369817,1921.8052280619,3263.8378666741,-3591.4658019528,-2773.2958679995,1457.8154894448,-3511.1010044548,4665.4959685739,3232.8983229918,-4314.8715989464,3414.5006413917,-3068.0328621779
1971,5596,5595.9993158442,-5595.999828961,-2797.2011570388,-0.6917853827,-4527.5843753793,2798.3993929755,3488.7398598719,-3956.7249568929,2.767141425,-1.3835707548,-4846.7392839992,5595.9999572403,3288.7985228379,-4846.0475479915,4375.3754341932,-3957.2141230291
1972,3933.5,3181.8614810009,-3740.8738541628,-1215.2989306443,-615.5058670114,-3447.0190099551,2312.1466115183,2166.8707581884,-2554.5381110986,2312.6131898186,-1215.8474646277,-3741.0520925503,3885.0450161709,1894.856774273,-3182.2005431532,3282.848361912,-2991.1130518495
1973,4301.5,1329.8198611145,-3480.1668338303,-449.8324943044,-1329.0907821288,-3999.3883990109,2878.1893419083,2038.4232026784,-2528.420282575,4090.780046273,-2528.11017535,-4277.9145593464,4091.0169814926,1583.6018072285,-3196.7058610584,3787.8401625177,-3479.9415404089
1974,5526,-1705.2043664191,-3249.1319356998,576.7795758382,-2508.183897098,-5352.2637895548,4106.3341276668,2172.1910381289,-2887.5986376777,5256.3251486895,-4469.8789317403,-5495.816710999,4923.9912203759,1374.7539150775,-3697.9313179072,5081.1673947896,-4711.5231197227
1975,6303.75,-5096.9505767316,-1950.3027796253,1946.4077795964,-3704.2572072844,-6253.9197788808,5099.359376585,1948.6335946072,-2862.3899709929,3709.2261835666,-5994.4627057215,-5995.7285477268,5100.5629693968,791.0445384576,-3705.9139238432,5995.0055193026,-5616.4034502927
1976,3151.5,-3151.4980996884,-1.730438089,1574.7508255027,-2227.8351346501,-3151.4999239875,2728.9906079512,701.7567297253,-1206.4265048378,3.4608756562,-3151.4995249221,-2729.8556898815,2229.0587392033,0.6921752648,-1576.2495080774,3072.3752606551,-2911.4407667725
1977,4473.75,-3623.0615021864,1379.4505549482,2991.9527101334,-3618.4082123704,-4438.6318381377,4086.5442307321,601.4232886094,-1383.2182261682,-2624.4741213956,-4255.7672902725,-3326.0574322801,2630.8859859656,-559.4519353532,-1820.6030080087,4433.1398681316,-4254.5442060573
1978,5118.75,-1590.2258337629,3005.131700602,4139.4147708562,-4559.8311073414,-4958.3765403867,4867.7628804627,230.9194521053,-1196.0280268029,-4865.4684625566,-4143.7645956952,-3011.1205418113,2325.8421775825,-1271.2606523615,-1583.1885870262,5113.5386738676,-4977.059224241
1979,4671,1434.2917498864,3776.0970434908,4265.8692092283,-4441.6432933176,-4343.6918913213,4568.5947552998,-208.1945487239,-731.8897379093,-4445.3400518079,-2749.423961149,-1902.7876628143,1445.6990886513,-1717.7257503075,-972.7193643839,4666.3578977487,-4613.3045001976
1980,4938,3988.0291482369,4694.5038041306,4829.279490721,-4876.7460352574,-4328.3305873313,4910.7446545906,-661.1854922447,-388.8907802321,-2911.9525258516,-1531.4953584661,-1030.4870695459,775.3657895481,-2376.8462985168,-518.1032111556,4893.5342795208,-4922.6626901557
1981,6315.75,6315.7271353546,6315.7442838361,6315.7474594825,-6315.7485709589,-5111.5461721185,6315.7493648706,-1403.0195609663,-2.1243194919,-16.9945357476,-8.4972755644,-5.6648513255,4.2486387435,-3709.5543927541,-2.8324259476,6157.9407413555,-6315.7496427397
1982,4373.25,3545.7531743016,4161.2366330224,4278.5939268784,-4319.9215078439,-3189.7632892975,4349.5216089371,-1349.6203712799,341.4812061604,2559.8730416624,1345.1487822887,904.9583257693,-680.8771758309,-2991.7763487182,454.9476188415,4159.7885061534,-4359.8974928706
1983,5134.5,1602.8896589042,4158.9137526308,4692.9129042258,-4884.5180372726,-3275.4859045493,5022.8901817951,-2015.7422277687,801.1031105993,4877.8924743559,3011.0673602858,2083.1847549728,-1582.5845296724,-3954.0210342257,1064.7368086182,4722.2741895394,-5071.6194707596
1984,4054.75,-1238.9167069436,2389.2990651047,3283.2560937206,-3614.4852985407,-2175.1398466156,3857.0571818754,-1919.5587177553,944.7653936936,3860.8396697812,3276.0109187837,2379.3333069469,-1837.5237655969,-3421.9532741061,1250.6428180113,3571.5951466522,-3943.1479700081
1985,4119,-3322.7153542939,1280.6046336913,2760.1921421145,-3334.7392316473,-1756.7398060324,3764.0000287838,-2267.197171034,1270.8993085302,2434.2809357877,3914.8707222804,3057.3682046181,-2417.7831285938,-3725.5907254959,1672.8612564452,3438.8919709196,-3918.0321524431
1986,3821.5,-3821.4649413082,8.1846438815,1915.4734606476,-2705.1007251666,-1184.0216362124,3310.8793454206,-2380.8375412052,1460.5341195563,16.3692502197,3821.491235317,3306.7844912475,-2699.313304658,-3633.4494650375,1908.3868082932,2989.2264638846,-3531.3881598618
1987,3641.25,-2955.6514510851,-1117.2367063958,1130.5191065416,-2143.6608180093,-685.5939703414,2947.4738556258,-2514.601053743,1651.2263032249,-2126.6936926127,3465.6144771717,3461.3043946241,-2943.3687943973,-3576.123945046,2138.0129636891,2633.5305396017,-3245.3279122514
1988,5127,-1608.3037186062,-3003.3611033895,544.2798371252,-2333.2270167005,-326.9623989614,3812.9156642221,-3858.6252797737,2676.1608775797,-4868.2120073716,4155.2317724343,5098.0278989918,-4565.3237222062,-5116.5637482265,3427.5068398954,3375.9650398503,-4373.1329681719
1989,4408.25,1340.2408080507,-3559.5494521491,-453.1306991266,-1367.7141861632,272.186247511,2952.5543735955,-3564.4088853412,2588.7682400465,-4199.5741020889,2600.437609366,4384.8991587047,-4190.7070963583,-4399.8389412757,3273.3913199406,2593.7728043529,-3568.0452718298
1990,3792.75,3055.9622042559,-3603.8488600864,-1165.3398911975,-598.5210098265,706.5489986696,2232.163713772,-3254.3361804469,2461.1899563504,-2246.3409288574,1182.0431278741,3609.2846244767,-3745.2269842156,-3726.3576150148,3066.3329430151,1947.8831040733,-2885.7402102857
1991,5617.25,5617.1530215784,-5617.2257553423,-2799.091120724,-8.2519180697,1729.5460797555,2813.3879011446,-5058.9196621035,3969.0770007473,-33.0074941981,16.5038183313,4870.1731448055,-5617.2439388323,-5344.3585134703,4861.9282265572,2441.4809880239,-3974.9119895463
1992,5380.75,4372.6265519918,-5122.5228590085,-3592.1600272653,833.503355989,2284.9782428599,2193.6220613169,-5035.9706656293,4088.8472547429,3135.6989012525,-1646.8849751683,4006.1024576285,-5315.8012301115,-4871.4828329942,4913.2975499764,1895.1174152072,-3497.6847613645
1993,4384.75,1382.0942821133,-3555.7116352424,-3541.7334472943,1348.1702358884,2344.6419639061,1359.4882915046,-4225.6489426225,3545.2377920467,4161.2315434075,-2565.725497691,2584.9867989638,-4172.3458123177,-3705.2242339149,4168.6717486223,1170.437343993,-2580.1785907848
1994,5606.5,-1696.0362246626,-3310.8922631542,-5116.5863842562,2536.7621859987,3567.8118181838,1171.9003128824,-5515.421598039,4777.82374339,5343.8098183442,-4524.4706510028,2292.0266190523,-4999.7679807854,-4324.761389953,5482.6537285029,1006.4625407262,-2933.4693669952
1995,4308.75,-3467.6541520658,-1346.1188162244,-4212.4463465453,2526.3844831194,3136.7223691798,455.4933406884,-4291.0074768327,3837.3744737868,2557.4794709169,-4093.0783885856,905.8820784059,-3490.3736198226,-2954.0310325362,4284.6064438976,390.6166871321,-1959.5621221155
1996,4722,-4721.8682976352,-17.6337540893,-4721.9853663435,3332.7179158452,3816.0280331085,5.8779301737,-4721.9973121844,4360.8702112434,35.2672622642,-4721.967074294,11.7558512394,-3345.1868846755,-2781.2252786372,4721.9963415845,5.0382262084,-1811.1032551154
1997,5758,-4684.5342502396,1757.9840424646,-5635.2624482642,4651.7220529881,5041.447441521,-594.4421010051,-5735.390631468,5474.4488115748,-3348.0894340402,-5483.0699527217,-1182.5316651927,-3393.5300119116,-2781.7928920719,5727.233414883,-509.7629885247,-1784.6496041093
1998,5080.5,-1609.0749958561,2969.5601301837,-4646.834123055,4522.0753250802,4720.6912285926,-1049.5807467315,-4999.9013921971,4938.9211341684,-4818.9581765887,-4122.2800588052,-2053.8775238099,-2315.6672913657,-1877.9122914259,4970.9013776267,-901.36913543,-1191.0240469718
1999,3790,1140.7675157547,3056.7637204003,-3072.4179880327,3602.0296015106,3669.3369178973,-1166.1123070605,-3654.6300424676,3742.7123980961,-3614.2425866285,-2240.6016061864,-2219.0871336685,-1178.7632289148,-948.7183897007,3606.1450452418,-1003.8820910312,-596.8282040399
2000,4050.5,3255.9830403542,3846.7459985652,-2719.0743623894,3999.2371095741,4017.6667660751,-1642.0931071565,-3793.9939973332,4037.6639386116,-2409.3826368856,-1268.5012702093,-3002.1966727376,-642.3805658687,-514.6882617426,3702.7125836918,-1418.5061854641,-322.2113729141
2001,4216.25,4216.0769038399,4216.2067257379,-2119.1442808294,4216.2391814206,4216.2430761081,-2102.6081409113,-3801.0748986407,4216.2472953543,-38.204756351,-19.1025742383,-3644.9954155702,-9.5513116271,-7.6410516545,3654.5592166872,-1824.4433883856,-4.775658877
2002,3230.5,2631.2252241627,3077.0361824861,-1007.8808043172,3191.903478923,3205.7804714288,-1894.7521357229,-2775.436603686,3220.8364161085,1874.2422654849,983.8590253035,-3069.2517873724,497.8779280499,398.8756936763,2616.4947151052,-1653.2035291881,249.6858639764
2003,3951.5,1257.4705755932,3208.0560491875,-425.746599247,3761.0494365512,3829.2552988821,-2639.3194731858,-3200.0455916421,3903.5970013907,3746.0806186623,2307.1039498193,-3928.4974332726,1211.9650926565,975.2723240117,2940.8068567083,-2318.2019889155,613.4188623885
2004,3475.25,-1040.750113173,2056.7566374872,351.7202134805,3100.4117522458,3233.7622530225,-2578.7281976197,-2620.380924386,3380.2417446458,3315.7505582342,2801.2701934395,-3457.4058850429,1569.9711873268,1272.8488729724,2329.7045832682,-2282.754120271,807.049137447
2005,4339.75,-3484.3800792963,1362.3677208034,1326.8290898021,3517.5108655736,3807.2654776613,-3506.532233202,-3003.6672964479,4129.0766426268,2586.9915974938,4120.3621510509,-4131.9432025326,2541.7606836742,2082.8249194565,2556.8851675458,-3132.3174862631,1335.7230782664
2006,4947,-4946.7192366028,26.3527657581,2458.2695855204,3507.3619810483,4008.3939168393,-4279.8287722507,-3090.2871947954,4572.9491971946,52.7047836949,4946.9298086527,-4292.9849341577,3488.7276955786,2899.2390738685,2481.1035206567,-3863.0213633481,1887.0465388742
2007,6176.75,-5036.6313255341,-1876.4631654401,4116.2359522559,3644.2966883452,4511.9251738177,-5638.1380339877,-3410.8292196087,5507.365528646,-3575.5538666266,5884.8217093848,-4605.305869088,4987.1176254242,4218.3849739409,2522.6256306083,-5149.6101403081,2796.6346733855
2008,4033.25,-1289.5735715481,-2352.2258559771,3254.0221158663,1841.1939915284,2577.9015853693,-3833.4964628468,-1916.9572013553,3441.8818420184,-3821.5318350192,3276.2996024438,-2382.9489360775,3588.469067452,3101.8589553122,1253.5591058427,-3548.5744533083,2102.5115809631
2009,4357.25,1298.2642227303,-3510.1630551152,3973.6577240125,1358.4862146152,2343.2672837128,-4260.2727424693,-1719.1510314443,3528.8023195648,-4159.3434061734,2581.5466079473,-1787.6442193278,4140.0655510753,3673.5168435141,914.1683227248,-4003.7666382526,2556.0089498932
2010,4397,3526.1670251742,-4173.617460291,4297.2461381361,700.789921125,1881.6375456891,-4371.9904088061,-1365.8716545181,3347.7591223971,-2626.7384929936,1383.6640832061,-931.2811757331,4340.7951444925,3974.0469482196,468.3042443838,-4179.4740845451,2850.6346413399
2011,5312.25,5311.8516321363,-5312.1504071005,5312.2057364123,16.264414844,1653.9453133484,-5312.2389340916,-1191.1459644106,3762.0739426715,-65.0561347725,32.5286772268,-21.6858601071,5312.2251017168,5048.2140369593,10.8429526404,-5176.9847743613,3750.5732511674
,,100.0274605934,-48.8924781664,-280.3673861949,944.657908218,-27.6144722793,-410.3389989615,-48.5995860692,-22.7201516571,-18.912141192,47.3743062369,-376.6669865178,-78.7407344016,-411.1853357171,972.9750745109,-60.3392441778,-1101.1896612952
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,10363.1619572399,,,,,,,,,,,,,,,,
20,4634.7993126781,,,,,,,,,,,,,,,,
30,78605.8712417819,,,,,,,,,,,,,,,,
40,898578.666812912,,,,,,,,,,,,,,,,
50,169835.939388029,,,,,,,,,,,,,,,,
60,1115058.58968831,,,,,,,,,,,,,,,,
70,6002.7441540448,,,,,,,,,,,,,,,,
80,1213134.87543478,,,,,,,,,,,,,,,,
