Year,Mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1892,2883.75,2288.7479317797,-2730.9513828307,2815.5020729102,-469.3788513887,1241.2148797026,-2866.6372429429,2871.1740588741,-1865.8031514348,1754.3223669765,-926.2389578911,623.6682931964,2845.293931454,-2602.9597931787,-313.6956803538,269.0233933109,-2198.8161957281
1893,2167.25,617.2776789277,-1737.0618313917,1972.3651524103,-682.7610520586,1170.5294047905,-2117.9684769917,2131.0065802909,-1268.3175218426,2077.4842549578,-1295.9894893177,898.1916655466,2056.89326614,-1823.9609302342,-459.5455287231,394.6942072756,-1757.3682671219
1894,2603.25,-866.1390284684,-1503.6844975991,2093.2382301215,-1196.3368869439,1669.3909401318,-2472.461626099,2506.9447485255,-1353.2454621323,2454.9366073005,-2125.0514097735,1547.6641349007,2312.0745263588,-1997.5095623065,-814.766267078,701.525901404,-2223.8788819804
1895,2160,-1778.303463848,-642.0531590485,1432.0556640461,-1280.3837659966,1581.8582139841,-1969.6243594071,2019.5763495468,-974.6720128965,1226.0655734774,-2062.3694482211,1617.0394475935,1739.6026591646,-1470.8244595638,-886.6678537255,766.1014086603,-1927.5929205297
1896,2630,-2629.2181481932,32.0645462467,1296.443832664,-1870.9930193121,2135.2283766001,-2272.2837938852,2365.5587168083,-999.0466353503,-64.1243262092,-2629.8045297843,2288.2599041078,1848.3195399296,-1535.4803091417,-1324.2455814716,1149.3615433501,-2432.8595973454
1897,2230.25,-1772.242732165,714.6575085623,672.1479155151,-1812.1644476939,1959.5317152882,-1799.0376526184,1910.6114482229,-682.8013265331,-1353.9463655508,-2112.6475588596,2126.5540769444,1300.0288754541,-1065.0119808152,-1318.1345101928,1150.4690158451,-2123.1574154981
1898,2370.5,-678.7856418796,1416.0171054624,229.115678738,-2118.4828059839,2208.1548384574,-1755.3331544821,1913.0368900311,-546.5376283547,-2271.237614689,-1901.09594893,2359.4016732546,1063.6262740036,-862.1615042422,-1593.1339450203,1399.842886677,-2306.6354004897
1899,957,316.9700417156,780.7654353011,-107.463425749,-911.8776018697,928.0390934735,-637.5760745034,718.5779577895,-146.9389924607,-902.9833844844,-553.4025072577,950.9472183703,290.3932492473,-233.650253552,-713.6846286847,632.0559457667,-945.6521202295
1900,2834,2330.6350378568,2705.2334185137,-896.4908713225,-2801.6234140287,2813.2647450685,-1656.9400819994,1951.6981890943,-214.1906214598,-1612.3573798369,-844.5520418287,2688.4679870952,427.155997226,-342.1950820142,-2299.153227748,2054.8552695229,-2825.8942615885
1901,2351.25,2350.6393378409,2351.0973295037,-1191.0606880337,-2351.2118320661,2351.2255724985,-1167.8816549122,1459.9872884259,6.6985951708,53.5841944492,26.7938369921,2027.2520810005,-13.3971359723,10.7177296557,-2040.6932651968,1843.0446766519,-2351.2404579972
