Year,Mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1961,2939,2938.9801017066,2938.9950254224,-1472.620889656,2938.9987563554,906.143582373,-1467.938725782,2938.9995939119,-2938.9996890888,10.8148866352,5.4074524703,2543.4442622847,2.7037273792,2795.8227426152,-2546.1494255737,1.5449872206,-1.3518638326
1962,2290.5,1848.5176246766,2177.2023182656,-1534.5498415739,2261.9982493348,427.6842840181,-930.457908203,2281.1802673388,-2283.3634445814,1352.5431014426,711.4635024645,1700.4549490432,360.2140613668,2250.2169680286,-2092.9974512795,206.4142386177,-180.6699475545
1963,2295.5,702.7024975005,1855.0436427497,-1858.4660347989,2182.6100123398,142.7414495056,-708.241296141,2258.4319934486,-2267.1018430285,2185.2984807588,1352.0848100226,1347.3768023455,711.0089901218,2291.0576441009,-2183.5096785772,410.8590767742,-359.9576132505
1964,2577.25,-803.0884018503,1512.0281047043,-2355.3859518806,2295.5491712605,-163.2282607453,-534.6957630352,2484.1062616921,-2505.8353561369,2448.9317224687,2087.1005182033,1046.123596992,1171.6106711811,2572.0758343008,-2521.1739336056,686.6102556197,-602.5003987007
1965,1846.25,-1496.253930746,568.4101700622,-1806.2122382465,1492.9946984128,-346.8252714771,-192.2494702691,1728.3005821226,-1755.7164526832,1081.6021621776,1756.5730673872,382.408698788,1086.0966315257,1813.3811771288,-1836.2132783752,649.3197673987,-571.0506109599
1966,2387.25,-2387.2448003922,-2.491261089,-2387.2494222656,1687.1596396704,-738.6484877324,0.830420497,2150.5290006209,-2205.2929978013,-4.982519465,2387.2487000977,-1.6608408935,1688.9212275199,2270.1015338682,-2387.2498555664,1036.4302098977,-914.1363992034
1967,1925.25,-1555.5561167391,-596.5539157311,-1882.9423603696,1130.9447679349,-820.3477194569,201.8078085686,1652.4789972806,-1715.2170383026,-1134.3864994682,1830.4947386229,-401.3921150521,1558.0601703338,1741.7282169391,-1914.6438757379,987.8768779795,-874.4244244168
1968,2050.25,-630.7339156976,-1206.3090093009,-1872.5932767571,930.1317154524,-1099.0808812911,426.7556073614,1658.4374144921,-1747.9312932873,-1950.8202864664,1657.8129075923,-834.8170352503,1827.1234371026,1730.7646514996,-2005.3440388337,1205.4502912658,-1071.5695294506
1969,2313.5,717.4000664654,-1872.4298790299,-1871.1477752656,714.2883608405,-1475.0837776875,715.3257551364,1741.9847603457,-1871.4684572288,-2199.45888678,1358.7820274482,-1360.5470418617,2200.4714012156,1782.2486074628,-2200.1343854498,1522.4228534554,-1360.1059016113
1970,3221.75,2607.9892467459,-3064.470787771,-2155.1226033663,503.3459555806,-2348.9132560381,1310.8025814562,2226.1606111903,-2449.625266739,-1891.5774240981,994.3298514066,-2394.8109793802,3182.1872841649,2205.0577267067,-2943.0374878597,2328.9229260937,-2092.6082086846
1971,1736,1735.9997877601,-1735.99994694,-867.7521816689,-0.2146067592,-1404.5544095173,868.1239003226,1082.2824154285,-1227.4614948474,0.8584270039,-0.4292135151,-1503.5631517195,1735.999986735,1020.2562965773,-1503.3485602776,1357.3359102501,-1227.6132447424
1972,1443,1167.262264417,-1372.3353175434,-445.8310301054,-225.7976270745,-1264.5350022538,848.2083539903,794.9140724713,-937.1293998514,848.379517709,-446.0322591732,-1372.4007040931,1425.2243443078,695.1260519323,-1167.3866489819,1204.3091867901,-1097.2864201904
1973,2647.75,818.5587672361,-2142.1856873821,-276.8903840043,-818.1099891622,-2461.7878957296,1771.643805658,1254.7332407048,-1556.3465775167,2518.0432099313,-1556.1556937773,-2633.2321921445,2518.1890532946,974.7719830499,-1967.7038111397,2331.5712635839,-2142.0470100239
1974,1644,-507.302927686,-966.6255704471,171.5934894459,-746.1915177034,-1592.3130057959,1221.6455493819,646.2327301274,-859.0684329248,1563.7709997187,-1329.8011154146,-1635.0203895915,1464.9007539446,408.9930214237,-1100.1446048931,1511.6610924781,-1401.6909172682
1975,2799,-2263.1552114649,-865.9762014945,864.2467380671,-1644.7695297544,-2776.8743146678,2264.2247701862,865.2350475995,-1270.9624475604,1646.9758616384,-2661.6698176981,-2662.2318786575,2264.7591911706,351.2407159457,-1645.5051473864,2661.9108385529,-2493.8034118373
1976,2211.75,-2211.7486663449,-1.2144364408,1105.1737706824,-1563.5139962121,-2211.7499466538,1915.229248655,492.4989519181,-846.680571815,2.4288725155,-2211.7496665862,-1915.8363706475,1564.3727324871,0.4857745968,-1106.2255590957,2156.2195725064,-2043.2743505978
1977,2401.5,-1944.8521257336,740.4862828071,1606.0741957833,-1942.3542491216,-2382.6486413608,2193.6487220124,322.8428114212,-742.5087611384,-1408.8124286184,-2284.4873199418,-1785.4209385014,1412.2543046206,-300.3126734285,-977.2960321281,2379.7005629099,-2283.8307707956
1978,2460.75,-764.473400817,1444.6647779744,1989.9516283046,-2192.0594671337,-2383.6532496716,2340.0923092744,111.0105087703,-574.9696638741,-2338.9893077873,-1992.0427309122,-1447.5438091843,1118.1081589228,-611.1364396188,-761.0903668913,2458.2447456351,-2392.6346248695
1979,2416.75,742.0947519884,1953.7320766124,2207.1375318781,-2298.0820871602,-2247.4025644082,2363.7660832521,-107.7187273878,-378.6757705186,-2299.9947699008,-1422.5370066596,-984.4919897466,747.9968470345,-888.7419625467,-503.2797096713,2414.348201538,-2386.8986621393
1980,2452,1980.2850286506,2331.0901838251,2398.0140362997,-2421.5838960006,-2149.2641960584,2438.4661589826,-328.3164898712,-193.1065599695,-1445.9513149834,-760.4752164761,-511.6958879154,385.0135512296,-1180.2404058249,-257.2679371716,2429.9202214226,-2444.3841466711
1981,2839.5,2839.489720277,2839.4974300681,2839.498857808,-2839.499357517,-2298.1016277925,2839.499714452,-630.7839992659,-0.9550734588,-7.640578594,-3.8202927546,-2.5468622632,1.9101468095,-1667.7797091755,-1.2734312596,2768.5504864947,-2839.4998393792
1982,1814,1470.7588768497,1726.0580237358,1774.7371824976,-1791.879635335,-1323.0962343305,1804.1575941489,-559.8150925517,141.644522489,1061.8212307953,557.9603020801,375.3717265067,-282.4241003732,-1240.9723424398,188.7097651811,1725.4573486909,-1808.4614536254
1983,2593.5,809.6395618596,2100.719216564,2370.4488493738,-2467.230992242,-1654.4887902325,2537.124488555,-1018.1765444967,404.6471744745,2463.8843377626,1520.9276850523,1052.2426062951,-799.3831877896,-1997.2253485762,537.8118440259,2385.2796008512,-2561.7382602815
1984,1531,-467.7924602825,902.1559575005,1239.6979047996,-1364.764040216,-821.2933239209,1456.3547803074,-724.7905288571,356.7262637018,1457.7829790826,1236.9622582546,898.3930681141,-693.8156199837,-1292.0674425443,472.2200269746,1348.5694973857,-1488.861099225
1985,1820.25,-1468.3594619212,565.9190542551,1219.7717277698,-1473.6729998558,-776.3305734233,1663.3700054367,-1001.9096019846,561.6301205031,1075.7465096789,1730.0421054215,1351.0984400233,-1068.4558727417,-1646.3963384521,739.263341113,1519.6997111111,-1731.4391904551
1986,2505.5,-2505.4770143785,5.366119389,1255.846854809,-1773.552235223,-776.283189724,2170.7204500723,-1560.9547192175,957.5737894932,10.7322141634,2505.4942535881,2168.0357301637,-1769.7578136388,-2382.2079378912,1251.2006144652,1959.8343334458,-2315.2932185094
1987,1574.25,-1277.839834362,-483.0236553501,488.7661389559,-926.7855936151,-296.4081861476,1274.3043507638,-1087.1570776121,713.8875407763,-919.4500640152,1498.3161251459,1496.4527135564,-1272.5295776395,-1546.0935449334,924.3438127257,1138.5747894179,-1403.0779171608
1988,2908.5,-912.3759246277,-1703.779163099,308.764951488,-1323.6182520135,-185.4827652388,2163.0320283577,-2188.9626733415,1518.1614808739,-2761.6919491789,2357.2248118052,2892.0643932549,-2589.866207536,-2902.5796102432,1944.3931429365,1915.1539532679,-2480.8381583632
1989,2016.25,613.0007438853,-1628.0704549188,-207.2533935494,-625.5665463282,124.4928308386,1350.4424104263,-1630.2930675595,1184.0535278157,-1920.8055993505,1189.3908761718,2005.5697677623,-1916.7499989866,-2012.4029411551,1497.1871488301,1186.3425206775,-1631.9562818186
1990,3148.5,2536.8655988661,-2991.686279344,-967.3911139504,-496.8541030753,586.5320736435,1853.0004489648,-2701.5430661491,2043.1234796834,-1864.7694718891,981.2570794573,2996.1987054683,-3109.0494126432,-3093.3852615844,2545.4747270669,1617.00875438,-2395.5581180106
1991,1948.5,1948.4663603268,-1948.4915900635,-970.9429077806,-2.8624081817,599.9413478844,975.9021452455,-1754.8275333319,1376.7851770806,-11.4495709546,5.7248101862,1689.355533874,-1948.4978975148,-1853.8399685784,1686.4955537757,846.8958485317,-1378.8092058625
1992,2466,2003.9765975397,-2347.6543921043,-1646.2884592736,381.9949404579,1047.2064947995,1005.3379181726,-2307.987485284,1873.9204256277,1437.0921322285,-754.7680804284,1835.9984501254,-2436.2339512995,-2232.6026420413,2251.7663445136,868.5331126517,-1602.9904049667
1993,2081.75,656.1776091657,-1688.1470315676,-1681.5106001266,640.0714723897,1113.1668643279,645.444951443,-2006.2135096196,1683.1743596769,1975.6300280492,-1218.130806732,1227.2755045881,-1980.9067551838,-1759.1312045048,1979.1624180842,555.6891364063,-1224.9927091319
1994,2973.5,-899.5208622196,-1755.9864700774,-2713.6662112879,1345.4137804454,1892.2480052385,621.5367128076,-2925.195063189,2533.9978419638,2834.1779175683,-2399.6278392503,1215.6142248733,-2651.7096389665,-2293.7087296932,2907.816081638,533.7940541959,-1555.813994963
1995,1979.25,-1592.8876078854,-618.3477033971,-1935.0123426515,1160.509773882,1440.8721204988,209.2335815625,-1971.0998662074,1762.7208418317,1174.7934419059,-1880.1799595261,416.1223333182,-1603.3239308463,-1356.9517658595,1968.1595135676,179.4321039759,-900.1365431267
1996,1674.5,-1674.4532961436,-6.2532234694,-1674.4948106612,1181.8373888358,1353.2272218213,2.0844121296,-1674.4990468557,1546.4373504293,12.5063597334,-1674.4883239952,4.1688210293,-1186.2590932633,-986.2688964587,1674.4987026648,1.7866390906,-642.2474376728
1997,1758.75,-1430.8656847185,536.9667305809,-1721.26047775,1420.8433762926,1539.8828912426,-181.5691290626,-1751.8440904992,1672.1408210068,-1022.6558339907,-1674.7741020058,-361.1979100656,-1036.5354130687,-849.6836139165,1749.3525127519,-155.7043515227,-545.1115823597
1998,2176.75,-689.4112778722,1272.3137512799,-1990.9450206397,1937.4918736086,2022.5892396101,-449.6948903548,-2142.2173714132,2116.0902625334,-2064.6919025469,-1766.1988225577,-879.9877767844,-992.1521063833,-804.5951344083,2129.7922593739,-386.1933403301,-510.296544483
1999,2182,656.7690552445,1759.8571076289,-1768.869670155,2073.7806307378,2112.5311754226,-671.3607002654,-2104.0640508349,2154.7753173208,-2080.8119588452,-1289.9716898941,-1277.5852574313,-678.6441597604,-546.2014581338,2076.1499970231,-577.9606128312,-343.6092720884
2000,2217.75,1782.7321041219,2106.1895909932,-1488.7611818761,2189.6822860777,2199.7729836966,-899.0870234283,-2077.3065516814,2210.721935528,-1319.1972208253,-694.5361540567,-1643.7777239758,-351.7194173449,-281.8046889223,2027.3276959591,-776.6675948186,-176.4187809604
2001,2160.75,2160.6612914253,2160.7278227425,-1086.0221772433,2160.7444556785,2160.7464516337,-1077.5477119417,-1947.98045354,2160.7486139192,-19.5792297149,-9.789715336,-1867.992610541,-4.8948702279,-3.9158973881,1872.893881401,-934.9934305258,-2.4474366839
2002,2371.5,1931.5742513858,2258.842688985,-739.8821629588,2343.1664139501,2353.3534709777,-1390.9316483105,-2037.4393764561,2364.4059931284,1375.8754163744,722.2478497159,-2253.128188749,365.4906380964,292.8134058361,1920.7606305129,-1213.6115677046,183.2936159789
2003,2332,742.1033486735,1893.2523615602,-251.2567555217,2219.6045263919,2259.8566005297,-1557.609265208,-1888.5249448841,2303.7297753367,2210.770594134,1361.5504013612,-2318.4249055781,715.2480313995,575.5624597229,1735.5337441082,-1368.0999716946,362.0125995419
2004,1837.5,-550.2851112741,1087.4873236121,185.9681727273,1639.3084223442,1709.8160247259,-1363.4740128412,-1385.4974314249,1787.2654358065,1753.1664342868,1481.1406317373,-1828.0651215787,830.1049008598,673.0047634233,1231.8055310425,-1206.9809930215,426.7183051748
2005,2517.5,-2021.2977359591,790.3129758909,769.6969257623,2040.5169892463,2208.6043758309,-2034.1482567166,-1742.4350293929,2395.2878501787,1500.7203978779,2390.2325514766,-2396.9507488624,1474.4818298634,1208.2520271287,1483.2555813806,-1817.0653313364,774.8563510653
2006,2703.5,-2703.3465648182,14.4015973776,1343.4266877814,1916.7481535808,2190.5585110522,-2338.8957117,-1688.8197758499,2499.0839204802,28.8027860762,2703.4616409324,-2346.0854597727,1906.5646502925,1584.4133487373,1355.9052694755,-2111.1134537723,1031.2573919237
2007,2277.25,-1856.9099746748,-691.816204881,1517.5777427085,1343.5827309725,1663.4608171087,-2078.6740337392,-1257.5077249936,2030.460703462,-1318.2385628001,2169.6216032212,-1697.8884996771,1838.6552171445,1555.2381401072,930.0439903352,-1898.5631103763,1031.0659019658
2008,2238.25,-715.6481860825,-1305.3665213266,1805.8178890071,1021.769652647,1430.6051505493,-2127.3968779438,-1063.8144067274,1910.0705468041,-2120.7571139234,1818.180768653,-1322.416278727,1991.4190516889,1721.3750218131,695.6619769795,-1969.2795562183,1166.7877136529
2009,1603.25,477.6962797848,-1291.5643853608,1462.1072341553,499.8549597985,862.2051230966,-1567.5672211518,-632.5615677694,1298.4227021269,-1530.4302750468,949.8799929294,-657.7636340897,1523.3369888718,1351.6704066473,336.3682054985,-1473.1858081998,940.4834124542
2010,2946.75,2363.1413876352,-2797.0450878127,2879.8976705828,469.6503752729,1261.0223874822,-2929.9892511142,-915.3700927794,2243.5772558389,-1760.3688092401,927.2940953349,-624.1193551493,2909.0830320749,2663.2983499354,313.8447878413,-2800.9700383519,1910.4179279891
2011,2228.5,2228.3328838469,-2228.4582205701,2228.4814313323,6.8229560883,693.8335226687,-2228.4953578282,-499.6882265874,1578.1978975469,-27.2911847787,13.6458482187,-9.0972637298,2228.4895551181,2117.7363605561,4.5486413401,-2171.7559545699,1573.373333376
,,31.9316090194,-54.68333038,-131.7383515223,413.1026524278,95.080884574,-381.4632123918,78.8312327205,-87.3212049063,3.77267369,-15.5358649508,-279.536980623,48.7348584996,-349.5293941968,515.7908286179,-108.8479554436,-527.1360875219
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,1033.8607213367,,,,,,,,,,,,,,,,
20,3231.6297212143,,,,,,,,,,,,,,,,
30,17354.9932618145,,,,,,,,,,,,,,,,
40,173028.887875859,,,,,,,,,,,,,,,,
50,131211.172018987,,,,,,,,,,,,,,,,
60,411554.361294548,,,,,,,,,,,,,,,,
70,18062.240656471,,,,,,,,,,,,,,,,
80,285497.447594189,,,,,,,,,,,,,,,,
