Year,Mean_nwest,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1892,1710.75,1357.7721800753,-1620.1040583191,1670.2627381816,-278.4533576119,736.3357972956,-1700.5980627185,1703.2894741981,-1106.8652765729,1040.7306421517,-549.480120403,369.983713077,1687.9363999081,-1544.1745873188,-186.0961890474,159.5948921046,-1304.4212594163
1893,1620.25,461.4807517742,-1298.6385660687,1474.5528380172,-510.4365415148,875.0952903965,-1583.4068173242,1593.1541869726,-948.2023138842,1553.1405532797,-968.8900542471,671.4938498567,1537.7465979759,-1363.6048897045,-343.5591846412,295.0759207928,-1313.8197876591
1894,1749.5,-582.084022013,-1010.5429860942,1406.7493646778,-803.9916964211,1121.905099303,-1661.6043848498,1684.7785796774,-909.4412507444,1649.8267913079,-1428.1292389892,1040.0992620796,1553.8171070258,-1342.4154342669,-547.5592372046,471.4566655167,-1494.5457040333
1895,986,-811.762599701,-293.0853772323,653.7068910877,-584.471478367,722.0889810131,-899.0970455442,921.8992040061,-444.9197244055,559.6762293744,-941.4334610861,738.1485626515,794.0963990446,-671.4041283009,-404.7474554506,349.7111059903,-879.9104720566
1896,1206.25,-1205.8914035202,14.706410232,594.6142103235,-858.1313040096,979.3229008646,-1042.1833940586,1084.9639551901,-458.2129292362,-29.4106344068,-1206.1603475484,1049.5108400495,847.7321083803,-704.2483357042,-607.3654876996,527.1548903673,-1115.8315168433
1897,1253,-995.6821627184,401.5091842747,377.6264266968,-1018.1109978524,1100.9049385746,-1010.7360962811,1073.4205334036,-383.611730589,-760.674720787,-1186.9285466881,1194.7415125709,730.382773655,-598.3454823277,-740.5548890356,646.3569899581,-1192.833198798
1898,1043.5,-298.8031290029,623.3342541869,100.8572920325,-932.5614039419,972.0352558238,-772.702023498,842.1236003997,-240.5872242937,-999.8044509293,-836.8671684068,1038.6144889438,468.2109331039,-379.5256400239,-701.301527791,616.2143228211,-1015.3866443413
1899,404.75,134.0581237036,330.2140124745,-45.450179281,-385.6661017312,392.5013825323,-269.6540398696,303.9126733702,-62.1458277936,-381.9044147022,-234.05398622,402.1900591801,122.8178345171,-98.8191641852,-301.8431070639,267.3193772718,-399.9505701807
1900,1485,1221.2396016998,1417.5270382826,-469.7561552272,-1468.0348517405,1474.1348434816,-868.2272483306,1022.6788323236,-112.2346763824,-844.8661640994,-442.5405018051,1408.7420468724,223.8273309388,-179.3082910343,-1204.7433109406,1076.7325600711,-1480.7526388352
1901,655.25,655.0798197215,655.2074535491,-331.9266415031,-655.2393633009,655.243192506,-325.4670725704,406.8715239728,1.8667749009,14.9329264914,7.4669480868,564.9577569699,-3.73353465,2.9868335383,-568.7035670474,513.6225515688,-655.2473408198
