Year,Mean_nwest,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1973,1580.5,488.6156667422,-1278.7175824407,-165.2819382188,-488.347781275,-1469.4951446325,1057.533012876,748.9777686466,-929.0173791956,1503.0751745053,-928.9034365083,-1571.8340023357,1503.162231605,581.8627586481,-1174.5655267704,1391.7659832289,-1278.6348028865
1974,750,-231.433817375,-440.9788186346,78.2817013895,-340.4158383683,-726.4201668777,557.3200499005,294.8142017005,-391.9107814438,713.3991787038,-606.6610927986,-745.9034624049,668.2941395733,186.5844075838,-501.8907869038,689.6264108021,-639.4575352501
1975,1697.25,-1372.3258959124,-525.1082915279,524.0595842031,-997.3508697305,-1683.8334871633,1372.9744520181,524.6588726468,-770.6827488824,998.6887392518,-1613.9760979236,-1614.316918918,1373.2985127597,212.9843891171,-997.7969315475,1614.1222474934,-1512.1857237373
1976,1589,-1588.9990418546,-0.8724944069,793.9962118749,-1123.2841595935,-1588.9999616742,1375.9689278231,353.8287937596,-608.2854882397,1.7449885508,-1588.9997604637,-1376.405105893,1123.9011063284,0.3489977775,-794.751854144,1549.1049624563,-1467.9610910365
1977,1588.25,-1286.2425103878,489.7261456041,1062.1891906945,-1284.5905209941,-1575.7825128633,1450.7860015558,213.5145097813,-491.0637267866,-931.7286444943,-1510.8627882147,-1180.8015013845,934.0049549505,-198.6140343838,-646.3420458161,1573.8327791137,-1510.4285745226
1978,1444.25,-448.6805685787,847.8947904458,1167.9315815012,-1286.5516145109,-1399.0007948139,1373.4342447098,65.1536837515,-337.4580664635,-1372.7868770789,-1169.158880065,-849.5845357775,656.2339565272,-358.6848736846,-446.6950167155,1442.7796297403,-1404.2720946735
1979,1187,364.4839021869,959.586210795,1084.0476881511,-1128.7156046174,-1103.8240794259,1160.9766590753,-52.9066429748,-185.9886788478,-1129.655029222,-698.6868426213,-483.5386332179,367.3827484969,-436.5104828977,-247.188586068,1185.8203435298,-1172.3383519021
1980,1197.5,967.1253351587,1138.4504466275,1171.1345059009,-1182.6454793886,-1049.6508461582,1190.8903855553,-160.3421682793,-94.3087706213,-706.1691271177,-371.3984794984,-249.9004183437,188.0316996727,-576.402074215,-125.6437009637,1186.7167476157,-1193.7805936536
1981,1184,1183.9957136144,1183.9989284031,1183.9995237347,-1183.9997321008,-958.2505114655,1183.9998809337,-263.021044244,-0.3982415831,-3.1859288802,-1.5929658818,-1.0619774325,0.7964831211,-695.4221432167,-0.5309887697,1154.4158394118,-1183.9999330252
1982,841.75,682.4759010961,800.9423051155,823.530883885,-831.4854923061,-613.9560392766,837.1828306918,-259.7708677814,65.7272749753,492.7166598798,258.9101897883,174.1836553402,-131.0531899058,-575.8481087369,87.5669486446,800.6635740135,-839.1799496081
1983,1527.25,476.7773359746,1237.0632055128,1395.9005225395,-1452.893207211,-974.288800803,1494.051812279,-599.5797677203,238.2870241821,1450.9224425864,895.6378665881,619.6404551626,-470.737603066,-1176.1181467565,316.7045069553,1404.633996684,-1508.5462726103
1984,1219.75,-372.6909558652,718.749006637,987.6691831348,-1087.3095611061,-654.3256249854,1160.2800413324,-577.4417031832,284.2043501961,1161.4178894422,985.4896894226,715.7511070099,-552.7639467506,-1029.39207253,376.2184049003,1074.4073445044,-1186.1778744478
1985,852.75,-687.8964599112,265.1215346881,571.4381765448,-690.385744061,-363.6950399597,779.2549222009,-469.3742140324,263.1122567004,503.9652993428,810.4894412296,632.9620627551,-500.5497846342,-771.3031054058,346.3297976289,711.948319544,-811.1439470735
1986,852.25,-852.2421814026,1.8252944519,427.1784003237,-603.2767481416,-264.0540205317,738.3741782375,-530.9613488138,325.7203201339,3.6505805311,852.2480453484,737.460966287,-601.986069317,-810.3119996279,425.5979739285,666.6409142603,-787.5508463279
1987,492.5,-399.7688540088,-151.112688747,152.9092097416,-289.9424518694,-92.7305267128,398.662787201,-340.1142516906,223.3378522041,-287.6475505971,468.7442856181,468.1613221702,-398.1075540654,-483.6913265871,289.178547097,356.2001485077,-438.949261046
1988,1563,-490.3020698618,-915.5945786225,165.9273230791,-711.2997517267,-99.6766587823,1162.3926629958,-1176.3275428684,815.8454167461,-1484.1067617558,1266.7500020119,1554.1676625949,-1391.7692564479,-1559.8184393365,1044.89822328,1029.1853632311,-1333.178628682
1989,1141,346.898375089,-921.3284012708,-117.2851194246,-354.0093883995,70.4507476686,764.2181228997,-922.5861823114,670.0583138191,-1086.9878184049,673.0787301733,1134.9560347263,-1084.6927458617,-1138.8229415291,847.2612705841,671.3536595626,-923.5273986634
1990,1517,1222.304307918,-1441.4445246196,-466.1052310188,-239.3926232699,282.6009705311,892.8066320723,-1301.6486680477,984.4110905764,-898.4771443086,472.7860852903,1443.6186870559,-1497.9920466825,-1490.4447965138,1226.4523299859,779.1018835618,-1154.2199984189
1991,888.5,888.4846605852,-888.496165138,-442.741993104,-1.3052346264,273.5683282501,445.0033646654,-800.1869455301,627.8027353534,-5.2209103378,2.610466436,770.332251397,-888.499041284,-845.3358029674,769.0281239567,386.177552692,-628.7256758577
1992,1454,1181.582308525,-1384.221202806,-970.6826519804,225.2314044711,617.4526534625,592.7661528885,-1360.8328481764,1104.8987424423,847.3365613383,-445.0254618584,1082.5392321502,-1436.4493776113,-1316.3845261671,1327.683805727,512.1034654484,-945.1533044694
1993,1237,389.9083475624,-1003.1165500416,-999.1731054913,380.3378942457,661.4566644283,383.530877836,-1192.115341131,1000.1617307171,1173.9422815885,-723.8274566723,729.2613422243,-1177.0777740662,-1045.2961690753,1176.0412687259,330.1969313004,-727.904878682
1994,1733.5,-524.4053857937,-1023.7102895172,-1582.0213140298,784.3533843626,1103.1484503383,362.3453477895,-1705.339042219,1477.2777060852,1652.2775920984,-1398.9422765564,708.6824478957,-1545.9016845967,-1337.1932345462,1695.2073911281,311.1928679834,-907.0131361252
1995,1269.25,-1021.484196695,-396.5329405263,-1240.8813519821,744.2096907918,923.9999691515,134.1769475297,-1264.0234963667,1130.3945577845,753.3694965967,-1205.7185366318,266.8502066764,-1028.1767837447,-870.1836699847,1262.1379121362,115.0659077789,-577.2379979101
1996,1471.75,-1471.7089510895,-5.4960774208,-1471.7454389911,1038.7394308863,1189.3772252705,1.8320295919,-1471.7491622633,1359.1932938157,10.9920781951,-1471.7397377366,3.6640563451,-1042.6257512751,-866.8505514262,1471.7488597473,1.5703111864,-564.4835272588
1997,1422.25,-1157.0994854817,434.2293859665,-1391.9333131372,1148.9947359955,1245.258531383,-146.8296766507,-1416.6653917342,1352.2116745853,-826.9920454261,-1354.3411323825,-292.0902502293,-838.2160575619,-687.1144391715,1414.6505252375,-125.9135829158,-440.8158908379
1998,1277.75,-404.6837075003,746.8468568728,-1168.682669173,1137.3057271177,1187.2577929996,-263.9704358107,-1257.4793827143,1242.1427968081,-1211.972012624,-1036.756883208,-516.5519153721,-582.3922609079,-472.296512227,1250.1858547904,-226.6950915846,-299.5435441429
1999,831.25,250.201318594,670.431356882,-673.8647632064,790.0229831809,804.7853068607,-255.7601201172,-801.5596893935,820.8785437777,-792.7016227269,-491.4248245758,-486.7061160586,-258.5348110911,-208.0797259733,790.9256118357,-220.1786248469,-130.9006450153
2000,888.25,714.0172659165,843.5679874646,-596.276460287,877.0083600985,881.0498716124,-360.1010251652,-831.9997946257,885.4351298535,-528.3629495651,-278.1746088788,-658.3634599578,-140.8701487799,-112.868003578,811.9823361225,-311.069773914,-70.6589932085
2001,1104.25,1104.2046655358,1104.2386663258,-555.0109865653,1104.2471665778,1104.2481866095,-550.6801161225,-995.514250062,1104.2492916442,-10.0059536793,-5.0030281892,-954.6365105588,-2.5015205133,-2.0012170269,957.1413021113,-477.8278355469,-1.250761059
2002,728.5,593.3594105564,693.8928521718,-227.2840631311,719.7962186644,722.925576052,-427.2796566705,-625.8800698917,726.3207952747,422.6545396706,221.866986514,-692.1374174589,112.2749018989,89.9492161719,590.0375793079,-372.808782236,56.3058820327
2003,1288.75,410.1139325056,1046.2817242542,-138.8538351967,1226.636077782,1248.8808721838,-860.7928561478,-1043.6691778385,1273.1268215974,1221.7541180061,752.4434304263,-1281.2478975402,395.2726845909,318.0772384082,959.1205457631,-756.0629667759,200.0616370753
2004,1050,-314.4486350138,621.4213277783,106.2675272727,936.747669911,977.0377284148,-779.1280073378,-791.7128179571,1021.2945347466,1001.8093910211,846.3660752784,-1044.6086409021,474.3456576342,384.5741505276,703.8888748814,-689.7034245837,243.8390315285
2005,1330,-1067.8554076765,417.5238363197,406.6323381386,1078.0089754509,1166.8098589295,-1074.644362039,-920.5317136415,1265.4350906605,792.8334177468,1262.7643668179,-1266.3136031726,778.971532758,638.3218256529,783.6067222388,-959.9590429702,409.3580722609
2006,1458.75,-1458.6672097017,7.7707897816,724.8839211397,1034.235756995,1181.9778908812,-1262.0174290521,-911.250544857,1348.4515143335,15.5413590489,1458.7293022786,-1265.89686127,1028.7409593542,854.9150998596,731.617093341,-1139.1110599927,556.4441355534
2007,1368.75,-1116.1029873032,-415.818829918,912.1460249565,807.5656440964,999.8296161676,-1249.3951404898,-755.829925825,1220.416330163,-792.3324329049,1304.0595320711,-1020.5225091374,1105.1308940461,934.7819537915,559.0065701048,-1141.1387670776,619.726184352
2008,1308.75,-418.4539544446,-763.274180626,1055.8982071878,597.4493612875,836.5037376439,-1243.931939689,-622.0337785344,1116.8568426806,-1240.0495355064,1063.1270327151,-773.2435182772,1164.4229571754,1006.5227565276,406.7676141503,-1151.4775468338,682.2443517227
2009,925.25,275.682821064,-745.3734274474,843.7952399203,288.4707946693,497.5863340995,-904.6571472763,-365.056972137,749.3314237598,-883.225081545,548.1842903215,-379.6013113622,879.1314822726,780.0611531267,194.1211178154,-850.1887846791,542.761439185
2010,1608.25,1289.7334815184,-1526.5454356409,1571.7639530719,256.3214443141,688.2291523435,-1599.1024732687,-499.5822352465,1224.4788739129,-960.7578306475,506.0900072359,-340.6260975376,1587.6924701228,1453.5503762734,171.2873097635,-1528.6875588969,1042.6502528849
2011,1542.75,1542.6343085281,-1542.7210768609,1542.7371452492,4.7234083487,480.3283226821,-1542.746786309,-345.9250668915,1092.5576874312,-18.8931906293,9.4467724207,-6.2978701455,1542.7427691983,1466.0703478788,3.1489416323,-1503.4671298689,1089.2177294439
,,-20.2437109891,-71.9969502943,-29.5026718438,256.3703383326,40.1621333388,-191.1034112157,35.7749547674,-54.2557521644,45.7018706017,-37.3640286012,-137.3146575733,8.3516818028,-143.0607537113,269.5197004876,-66.6298470414,-267.8239297794
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,2498.4688111099,,,,,,,,,,,,,,,,
20,6579.6314849938,,,,,,,,,,,,,,,,
30,870.4076459215,,,,,,,,,,,,,,,,
40,65795.5009656843,,,,,,,,,,,,,,,,
50,22079.3762067835,,,,,,,,,,,,,,,,
60,109161.382729196,,,,,,,,,,,,,,,,
70,5719.3839053697,,,,,,,,,,,,,,,,
80,74673.3440054074,,,,,,,,,,,,,,,,
