Year,Mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1974,1887,-582.2874845155,-1109.5027076847,196.9567606961,-856.4862493348,-1827.6731398643,1402.2172455496,741.7525314783,-986.0475261125,1794.9123336187,-1526.3593094814,-1876.6931114106,1681.4280551664,469.4463694809,-1262.75721985,1735.100049578,-1608.8751586893
1975,2738,-2213.8331436195,-847.1035511583,845.411778788,-1608.9242488273,-2716.3565107397,2214.8793929153,846.378549599,-1243.263730411,1611.0824970224,-2603.6627227072,-2604.2125343924,2215.4021669972,343.5859522184,-1609.6438347781,2603.8984908746,-2439.4547129727
1976,2426.5,-2426.4985368536,-1.3323522205,1212.4806847794,-1715.3234822238,-2426.4999414741,2101.1885483718,540.3181674372,-928.8890731363,2.6647040393,-2426.4996342134,-2101.8546189109,1716.2655975494,0.5329409107,-1213.6345966523,2365.5778422908,-2241.666197231
1977,2787.25,-2257.2513376852,859.4296863435,1864.055924296,-2254.3522302161,-2765.3705707403,2546.0118261208,374.7006563122,-861.777032889,-1635.1082413769,-2651.4417166386,-2072.210914361,1639.1029817005,-348.5515298828,-1134.2778952942,2761.9489460631,-2650.6797068082
1978,2513,-780.705742661,1475.3398707913,2032.2049951964,-2238.6042632965,-2434.2662263232,2389.7803406306,113.36763529,-587.1782039279,-2388.6539187116,-2034.3404989464,-1478.2800335183,1141.8493562422,-624.1129219799,-777.2508755452,2510.4415506577,-2443.4383063282
1979,2175.5,668.015778608,1758.7024444689,1986.811917079,-2068.6780099791,-2023.0575272039,2127.805157387,-96.9657976341,-340.8747858749,-2070.3997608024,-1280.5334676685,-886.2159196002,673.3287020683,-800.024056903,-453.0402434633,2173.3379590136,-2148.6285463883
1980,3139,2535.1201896143,2984.2137385917,3069.8882789334,-3100.0619288524,-2751.4438464222,3121.6742549129,-420.3040219028,-247.2110488353,-1851.0771524196,-973.5447408313,-655.0625579798,492.8864344657,-1510.9195081094,-329.3491251149,3110.7339213074,-3129.2503411095
1981,2734.75,2734.740099499,2734.7475248736,2734.7488999438,-2734.7493812183,-2213.3239748567,2734.7497249859,-607.5141898195,-0.9198405147,-7.358715376,-3.679361018,-2.4529077564,1.8396809253,-1606.2548193935,-1.2264540015,2666.4178351616,-2734.7498453046
1982,2684.75,2176.7474612031,2554.5944207413,2626.6403807664,-2652.0114944684,-1958.2043082242,2670.1830765664,-828.5355952195,209.6362358061,1571.5129820164,825.7904746469,555.5563631416,-417.9923392928,-1836.659590058,279.2935733572,2553.7054117408,-2676.5528597689
1983,2522.5,787.4747618241,2043.2096486535,2305.5551272587,-2399.6877493466,-1609.1952856609,2467.6678320339,-990.3028083643,393.569499754,2396.4327133241,1479.2905670116,1023.4362731364,-777.499167611,-1942.549042523,523.0886356489,2319.9798701165,-2491.6077738808
1984,3219,-983.5557999017,1896.8256219427,2606.5235503265,-2869.4810225051,-1726.8081056183,3062.0548907965,-1523.9064091385,750.0338620876,3065.0577463532,2600.77172392,1888.9139688173,-1458.7801964255,-2716.6329833769,992.8649685377,2835.4312293171,-3130.4009656467
1985,2909.5,-2347.0357667682,904.568871504,1949.6914390585,-2355.5289619999,-1240.8920771185,2658.7419479841,-1601.459133072,897.7134105775,1719.4805493261,2765.3110867868,2159.6049505551,-1707.8271455799,-2631.611123047,1181.6435604824,2429.0983708159,-2767.5441970219
1986,3130.25,-3130.221282881,6.7041689154,1568.9940599744,-2215.7900156882,-969.8505107298,2711.9926916139,-1950.1810057196,1196.3461802279,13.4083070785,3130.242820712,2708.6385329654,-2211.0494496678,-2976.2148862838,1563.1892729713,2448.5218209015,-2892.6148861461
1987,2271.75,-1844.0099372476,-697.0360419512,705.3228370164,-1337.4147513388,-427.737206213,1838.9079935511,-1568.8417284835,1030.1883568421,-1326.8290823736,2162.1722453868,2159.4832155132,-1836.3468750215,-2231.1183171049,1333.8910951626,1643.0409895888,-2024.7370229062
1988,2739.75,-859.4402405015,-1604.9265814339,290.8505332093,-1246.8224534826,-174.7211298136,2037.5337801936,-2061.9599395865,1430.0783624633,-2601.4596932312,2220.4595764632,2724.2679805467,-2439.6032119982,-2734.1731088753,1831.5802349529,1804.0374913068,-2336.9009263797
1989,3159,960.4311716968,-2550.8119365596,-324.7183981264,-980.1188939124,195.0516318011,2115.8326470114,-2554.294259353,1855.1395384352,-3009.4605769861,1863.5019356859,3142.2665326032,-3003.106384029,-3152.9725436375,2345.7478998905,1858.725863767,-2556.9001335474
1990,3002.75,2419.4293082405,-2853.1954820709,-922.6087557295,-473.8537900617,559.3803983271,1767.2215652307,-2576.4835451419,1948.5434424708,-1778.445777899,935.8328395554,2857.4990194839,-2965.1256546973,-2950.1866267183,2427.6399036685,1542.1543710385,-2284.6632170418
1991,3058.5,3058.4471968485,-3058.4867991837,-1524.058959942,-4.4930333199,941.709321275,1531.8433211359,-2754.4983375395,2161.0969792667,-17.9720363176,8.9860569436,2651.7289711848,-3058.4966997941,-2909.9150853975,2647.2397491522,1329.3461394581,-2164.2740344523
1992,2861.5,2325.3767371695,-2724.1739833765,-1910.3221517483,443.2597413302,1215.1587124367,1166.5752039136,-2678.1452510706,2174.4620024062,1667.5746700616,-875.8186788912,2130.4580555692,-2826.9600371629,-2590.6700974052,2612.9072971719,1007.8294816922,-1860.0799042224
1993,3212.25,1012.5166446704,-2604.8998689338,-2594.6595053472,987.6640265084,1717.6751578898,995.9555879778,-3095.6932130541,2597.2267740468,3048.5012886278,-1879.6400547256,1893.7508056266,-3056.643556786,-2714.4321900663,3053.9519526796,857.4576334435,-1890.2283318886
1994,3864.5,-1169.0594827805,-2282.1623385284,-3526.8078269791,1748.5628231146,2459.2542176708,807.7782500908,-3801.7206395473,3293.3023912121,3683.4304901438,-3118.668836315,1579.8692355886,-3446.2861610176,-2981.0113959642,3779.1341003834,693.7437775147,-2022.0088056279
1995,2227.5,-1792.6776034178,-695.9047666121,-2177.7137770652,1306.0682184273,1621.595376234,235.4769750817,-2218.3276250989,1983.8123911483,1322.143434051,-2116.0039711226,468.3150170349,-1804.4229157307,-1527.1492021989,2215.0184749131,201.9376084912,-1013.0373372816
1996,2181.25,-2181.1891622653,-8.1456217931,-2181.2432402238,1539.4940605543,1762.7511959377,2.7152128741,-2181.2487584079,2014.4320517312,16.2911299902,-2181.2347905133,5.4304215409,-1545.2538950018,-1284.7411349063,2181.2483100553,2.3273254801,-836.6092704829
1997,3326.25,-2706.1361670475,1015.5426226551,-3255.3476412884,2687.1813961014,2912.3158305591,-343.3940671185,-3313.1891434388,3162.449697725,-1934.1060229205,-3167.4299114694,-683.1184354545,-1960.3558878293,-1606.9709286652,3308.4769271022,-294.4770997882,-1030.9466387059
1998,2326,-736.6811220079,1359.5506077763,-2127.4552052408,2070.3370152813,2161.269126603,-480.52845525,-2289.0996237084,2261.18109597,-2206.2585806014,-1887.2991667712,-940.3245980478,-1060.1795334547,-859.7626197927,2275.8225773762,-412.6728883004,-545.2852934271
1999,2938.75,884.5463158111,2370.2016842549,-2382.3399372906,2792.9985465539,2845.1883555331,-904.1985599932,-2833.7847064121,2902.0833931148,-2802.4684436555,-1737.3530264328,-1720.6707952687,-914.0080313914,-735.6322342304,2796.1896442492,-778.4059353609,-462.7780698212
2000,2364,1900.2947555604,2245.0827158643,-1586.9378577185,2334.0813546557,2344.837485496,-958.3775102624,-2214.2949783226,2356.5084683071,-1406.1919648433,-740.3374898839,-1752.1769989758,-374.9136298515,-300.3883596493,2161.020256227,-827.8851061442,-188.0527553558
2001,3627.25,3627.1010849578,3627.2127710484,-1823.1049137595,3627.2406927502,3627.2440433592,-1808.8788328777,-3270.0738632895,3627.2476731868,-32.8676436345,-16.4339904906,-3135.7983091912,-8.2170163295,-6.5736150878,3144.0260702588,-1569.5730282886,-4.1085108003
2002,2271.75,1850.3284021024,2163.8312792332,-708.761249716,2244.6081808523,2254.3667500289,-1332.4263006744,-1951.7406297551,2264.9543811467,1318.0033637565,691.8686707114,-2158.3571422267,350.1173759627,280.4970924344,1839.9696236001,-1162.5646548315,175.5839224542
2003,3161.75,1006.1514848493,2566.8913611334,-340.6565380664,3009.3630408746,3063.937224153,-2111.8229392244,-2560.4818801403,3123.4209336067,2997.3859030888,1846.0042802331,-3143.3447449449,969.7407646986,780.3536050725,2353.0548093629,-1854.8842562201,490.8204702409
2004,2637,-789.7152862204,1560.6552774775,266.8833042078,2352.5748624335,2453.7604665047,-1956.7243384284,-1988.3301913836,2564.9082744064,2515.9727277357,2125.5879433422,-2623.4599867227,1191.2852373155,965.8305094678,1767.7666314879,-1732.1408863117,612.3843106101
2005,2978,-2391.032634632,934.8766801204,910.4895511102,2413.7674653328,2612.6013232272,-2406.2337670316,-2061.1604836274,2833.432857133,1775.2315173308,2827.4528454012,-2835.3999325173,1744.1934019199,1429.2649599957,1754.572044231,-2149.4421277934,916.5927362354
2006,3769.5,-3769.2860647613,20.0802002275,1873.1447751403,2672.5290049649,3054.3037941229,-3261.1308989284,-2354.7276290239,3484.4819079897,40.1598306323,3769.4465158109,-3271.1555911275,2658.3301088505,2209.1533634419,1890.5437075229,-2943.5332583668,1437.8859770136
2007,3492,-2847.4386350047,-1060.8506696429,2327.0969272316,2060.2880213221,2550.7981878774,-3187.4979584223,-1928.2981559677,3113.5662647884,-2021.4245521124,3326.95955141,-2603.5905767362,2819.4462699609,2384.8464530702,1426.1559399497,-2911.3107394594,1581.0658160784
2008,3925.25,-1255.0421277429,-2289.2393333351,3166.8878225511,1791.8915800525,2508.8720505723,-3730.8453457607,-1865.6260471381,3349.7171512757,-3719.2010997109,3188.5687756753,-2319.1397288386,3492.379150069,3018.7991977535,1219.9920362509,-3453.552810475,2046.2117605344
2009,2935,874.4977895952,-2364.4107101413,2676.6160812385,915.0627207288,1578.401394847,-2869.6770897119,-1158.0029324204,2376.9659321643,-2801.6920987134,1738.9039633543,-1204.1392584147,2788.7067284195,2474.4441874379,615.7746347346,-2696.8971445915,1721.7020524268
2010,2471.5,1982.0154202224,-2345.939402572,2415.4295725275,393.9054560065,1057.6454842326,-2457.4424142288,-767.7397757884,1881.7345169444,-1476.4576268896,777.7406826572,-523.4617752614,2439.907937142,2233.7632550659,263.2280964282,-2349.2313395391,1602.30691746
2011,2801.5,2801.2899143357,-2801.4474780916,2801.4766568891,8.577299296,872.2345136892,-2801.4941642162,-628.1698751558,1983.9898631266,-34.3083931602,17.1545181892,-11.4363851645,2801.4868694921,2662.2564119802,5.7182044938,-2730.1657198688,1977.9247895234
,,46.3863763748,-67.215577372,-151.9233678465,523.0472636172,197.3287999776,-447.6084184113,-48.7947076545,65.5175494336,43.704604295,36.8754793501,-264.2112203249,25.2315909518,-392.7932133421,679.8954516886,-143.1384264376,-612.9975983298
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,4061.7883497604,,,,,,,,,,,,,,,,
20,5877.7348187438,,,,,,,,,,,,,,,,
30,23080.7096978375,,,,,,,,,,,,,,,,
40,274215.073159354,,,,,,,,,,,,,,,,
50,193225.163748177,,,,,,,,,,,,,,,,
60,662611.121459418,,,,,,,,,,,,,,,,
70,22869.5326181354,,,,,,,,,,,,,,,,
80,380058.604841847,,,,,,,,,,,,,,,,
