Year,Mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1906,2724.25,-2723.6378882395,-28.8751230602,-2724.1819853181,-1916.0995548905,2197.1556824801,9.6252012244,598.156546611,1049.1910812835,-57.7470020535,2724.0969677617,-19.2502822951,-1936.5176369578,1610.6039145133,-2724.2329962765,2657.7710225387,-2514.1074236109
1907,3008.5,-2396.4757550134,-959.4985515992,-2938.3322229201,-1755.6225188681,2184.4825262432,324.8844081708,394.9460948791,1372.8222576112,-1818.7842658306,2851.3917267677,-645.9690377639,-2443.1254206944,2068.6005758818,-2990.9066136086,2982.4637184951,-2677.019106956
1908,3392.75,-981.8533707557,-2022.3216285829,-3089.9004445568,-1524.7165076048,2151.851559464,716.761058244,142.2586233972,1780.1363194042,-3247.5708646365,2724.1453325889,-1401.1665872508,-3030.8401696456,2623.0301996989,-3316.1734194528,3389.7662229967,-2888.2290848958
1909,2934.5,963.1174930976,-2391.3969278954,-2362.3674333134,-892.6746229985,1562.3395404159,916.2213206813,-140.1330554957,1730.8576730643,-2771.9478610698,1700.7383641385,-1740.836109466,-2795.4288163812,2484.0260486664,-2787.799982339,2931.1521585816,-2369.6881578795
1910,3372.25,2767.1576505868,-3217.4226835848,-2239.7816769544,-510.9385568644,1423.6634908798,1381.840494122,-462.1782136307,2196.4809940123,-1927.409816126,1010.0798669681,-2521.0014085834,-3333.3184446748,3057.0005441995,-3076.1318098067,3340.428320043,-2558.8163875986
1911,3035.75,3035.1665352083,-3035.6041302975,-1500.6607879704,14.8799185038,926.7697973464,1526.457840135,-683.8049252343,2151.8538257858,59.5160990981,-29.7594795108,-2638.9003887885,-3035.7135323553,2890.8261457975,-2624.0625992515,2957.733741689,-2141.3321029095
1912,2834.75,2260.7985469377,-2687.4343009115,-858.6345905605,456.9481250597,520.4337316833,1673.5879356802,-883.4111682409,2159.9932013797,1710.1454595047,-901.9448102762,-2701.5836471213,-2797.6786758855,2786.5671162608,-2287.9927849637,2693.5835369127,-1835.820506611
1913,2975.75,865.71005672,-2390.7346950033,-292.3316244498,932.9681918061,175.5802887866,1998.1469204045,-1176.9549798774,2411.5729471931,2847.0395431384,-1771.8565632149,-2961.3561561971,-2825.7137886874,2970.5655395378,-2205.1070148585,2733.1053835961,-1743.3886494028
1914,3398,-1110.1270293171,-1971.5720065953,376.1900611313,1556.7598275889,-226.0107009252,2532.261620343,-1618.1725503025,2901.4025827302,3211.5451076981,-2767.5454509023,-3377.1119374261,-3020.4143489272,3390.4753594544,-2265.8453358819,2987.9627838124,-1768.6907736873
1915,2345.5,-1922.5028003828,-704.3223451312,738.4169789891,1387.3323663591,-447.9472148918,1901.7527802292,-1297.2508813916,2092.2904094909,1343.6343373554,-2237.2528431424,-2226.2323812083,-1891.2110287466,2302.3278529937,-1372.8461723334,1954.1009187677,-1060.0429672199
1916,2620.5,-2620.0748452106,23.6020986962,1323.8531601138,1861.2992168957,-818.7526523012,2273.343073106,-1639.121928107,2423.2782390674,-47.2022827294,-2620.393709147,-2261.5112337676,-1844.609843621,2489.3100137086,-1303.4306740141,2044.5780872343,-997.3679491854
1917,2986,-2384.2909506941,947.8141223962,2011.0778463308,2423.4653875675,-1280.9307791167,2731.4167065045,-2068.9623022592,2841.8887774926,-1797.5963569273,-2831.5798398397,-2207.2068086153,-1744.4229748724,2697.2972285441,-1206.4654058149,2153.0422642926,-916.4410381262
1918,2866,-838.1474623103,1704.6737771519,2328.3612611688,2559.2529227606,-1544.0800419151,2728.2814530863,-2162.9770601365,2788.2588542522,-2740.7051704667,-2303.9191204317,-1671.1342966646,-1290.0311923909,2414.4922497618,-877.7450157906,1880.2888707119,-662.9996694449
1919,3266.75,1062.3289729904,2659.1369591483,2991.8314045457,3111.1405644713,-2090.879975642,3197.2817207199,-2647.5275625102,3227.6132049462,-3089.1928906504,-1897.5368757924,-1311.7165887776,-996.2228418387,2509.9554756926,-670.1083202366,1913.7014835781,-504.1513282306
1920,2958.25,2422.0448558709,2821.0155314514,2896.9919901231,2923.7400926225,-2163.2390684785,2942.8956503147,-2543.1272589178,2949.609905691,-1698.5116363009,-890.5697242833,-598.8993835883,-450.5407121359,2017.8304673853,-301.0120493587,1511.2070696794,-225.9302254011
1921,2780.75,2780.3750938785,2780.65627189,2780.7083429322,2780.7265678738,-2255.0298438426,2780.7395857136,-2508.192615676,2780.7441419623,45.6607034582,22.8311212761,15.2208425243,11.4156568326,1627.086649776,7.6104497643,1200.6416472739,5.7078404407
1922,3393.5,2712.9258172771,3218.8628435311,3315.5090577424,3349.5561877302,-2978.9962589005,3373.94592706,-3179.8475473938,3382.4962064326,2038.5965172029,1074.5995740438,723.3546419482,544.3487808737,1625.2456858754,363.7734614778,1185.078826633,273.0598166499
1923,2320.25,682.0785261279,1866.3001852259,2114.6592642716,2203.8424475527,-2159.9994832031,2268.2700699461,-2238.0209970677,2290.9632800892,2217.730584786,1378.5803136292,954.8697599832,725.6986487963,847.3265575103,488.3758309816,612.2271467227,367.4878389592
1924,2124.75,-687.7559736739,1235.5672902429,1712.49780496,1889.4224200061,-2059.6216228412,2019.0582301643,-2091.4374917945,2065.0802465532,2010.3617294347,1728.5647323088,1257.7415595055,971.9287429016,522.0357585691,661.7903185343,374.7689693885,500.0061377583
1925,3504.75,-2866.2790856,1057.7525554787,2331.9554389556,2827.5811952369,-3478.4287327646,3198.1395675595,-3491.3125344856,3331.1587891083,2016.8581422481,3341.3219081493,2616.3440892255,2070.7624554359,428.726152197,1433.5884586973,306.6094405649,1089.3363503743
1926,3044.5,-3044.1652930488,-22.5722762794,1509.1992287488,2144.7912433227,-3044.4866114865,2632.8442131966,-3044.4931691233,2810.5868773528,-45.1433117637,3044.4163221123,2644.1062644955,2160.7523626196,-9.0289799971,1528.7614591679,-6.4492760569,1170.2912692369
