Year,Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1887,1670.75,-1324.4049023813,-537.8922158976,1129.1820744084,972.8109124565,-304.1180734506,-1529.3767543215,1566.4879792338,-1486.0567611109,-1018.5073475673,1581.7956652415,-1231.4030231142,1358.3241480241,-1642.8383243341,672.6160166403,-580.9655526932,-763.571126521
1888,1225.75,-347.2472037781,-733.765903565,998.0806304286,549.1126961769,-70.3749121649,-1167.4460148649,1182.8233786513,-1042.9616363603,-1175.534959909,981.8608156279,-711.5462863815,1095.8733090086,-1223.7280883586,373.5409815216,-321.5461357503,-643.9674584795
1889,1387,463.5575866269,-1132.8555452156,1272.0423320365,419.8204132638,94.4573387906,-1357.9565005063,1365.6420709887,-1119.3882063871,-1307.2426568471,800.2545305553,-552.8809143994,1321.9379034611,-1383.779899821,282.3528691773,-242.4680060247,-818.9865953736
1890,1317,1085.4603673119,-1257.7838255737,1290.570946943,197.4686072765,253.5812924648,-1310.3760790559,1312.132362352,-998.6378612348,-745.8316103486,390.4725958696,-262.5178677856,1302.1118036253,-1292.3565793201,131.922444785,-113.1267592945,-858.6101688825
1891,1382,1381.5337383351,-1381.8834296675,1381.9481905587,-8.9749707396,433.884303408,-1381.987047579,1381.9904839316,-974.0432717385,35.8960978647,-17.9495629602,11.9665622294,1381.9708571096,-1312.123626514,-5.9833371919,5.1285789867,-980.3895678663
1892,1911.75,1517.299994306,-1810.4538556139,1866.5057955392,-311.1694908166,822.8496042554,-1900.4052879744,1903.4129196541,-1236.9134546183,1163.0085080424,-614.0398188984,413.4539608213,1886.2559769249,-1725.6032543075,-207.9610635168,178.3460675031,-1457.6807497818
1893,1390.5,396.0431941626,-1114.4927795825,1265.4625651986,-438.0570967297,751.0075613617,-1358.8811476558,1367.2463490112,-813.7480743441,1332.9066127668,-831.5023116375,576.2766228827,1319.6955065487,-1170.2469366666,-294.8427997183,253.2344192948,-1127.5213175374
1894,1497.5,-498.239967399,-864.9832075885,1204.1195619348,-688.1838041673,960.3045934303,-1422.2649707416,1442.1011277891,-778.4442829322,1412.1838353721,-1222.4198544649,890.2821634549,1330.0034968683,-1149.0523651413,-468.6881724572,403.5475030644,-1279.2696151986
1895,1560,-1284.3302794458,-463.7050593128,1034.2624240333,-924.7216087753,1142.4531545441,-1422.506481794,1458.5829191171,-703.9297870919,885.491803067,-1489.4890459375,1167.861823262,1256.3796982855,-1062.2621096849,-640.3712276907,553.2954618102,-1392.1504426048
1896,1629.75,-1629.2655045695,19.8696556067,803.376173492,-1159.4109784121,1323.1515006707,-1408.0815639104,1465.8818702351,-619.0860281225,-39.7363576576,-1629.6288716411,1417.9815888668,1145.3607491256,-951.5015337732,-820.6042723967,712.2326902186,-1507.5866649329
1897,1433,-1138.7171102757,459.1880774666,431.8744369166,-1164.3679648225,1259.0556879309,-1155.9336200884,1227.6230042836,-438.7195610008,-869.9496208202,-1357.4370370343,1366.3723763082,835.3060771329,-684.3009386876,-846.9394700622,739.209550367,-1364.1899232861
1898,1439.75,-412.2681408548,860.0340129042,139.1560001953,-1286.6845053429,1341.1478290104,-1066.1214550372,1161.9046034264,-331.9458132983,-1379.4618670105,-1154.6521377228,1433.0093056605,646.0054537003,-523.6435459745,-967.6079296954,850.2104180946,-1400.9611127843
1899,645.25,213.7146493385,526.4251798621,-72.4564006944,-614.826564897,625.7233281753,-429.8808381121,484.4957442672,-99.0725024924,-608.8297062054,-373.1274480753,641.1689578406,195.7954483562,-157.5369133798,-481.196454189,426.1589331306,-637.5987780336
1900,1491.25,1226.3794990134,1423.493061171,-471.7332434226,-1474.2134496014,1480.3391147083,-871.8814034162,1026.9830361633,-112.707044549,-848.4219981234,-444.4030460046,1414.6710958912,224.76936516,-180.0629555588,-1209.813779421,1081.264262765,-1486.984762736
1901,1217.75,1217.4337282959,1217.6709295069,-616.8693898365,-1217.7302322163,1217.7373486061,-604.864597669,756.1507795771,3.4693096307,27.7521117663,13.8769569366,1049.9462930945,-6.9385911027,5.5508836952,-1056.9076974773,954.5423306721,-1217.7450580441
1902,1347.5,1072.0770123822,1276.7889457904,-909.1295536189,-1329.7047330992,1336.1019781252,-543.4630514113,738.7194385094,109.496854176,816.3376320626,430.7739986437,994.6053009796,-218.2694957472,174.8935506239,-1233.0466989335,1126.9648801841,-1343.0438149687
1903,1593.5,458.7250391252,1278.71431521,-1296.0502872089,-1512.7579963906,1541.6662064181,-486.8193285669,750.6648047476,253.6359425945,1526.0450807495,950.8585331568,927.0900188362,-500.8048465784,403.1222618368,-1517.3164440333,1405.6118244072,-1573.1850045764
1904,970.5,-319.9825719152,561.8394628167,-889.4455272422,-862.3037309045,900.7792292044,-198.3221694761,378.6451529644,229.1336718568,916.2321778188,791.3322109088,388.2742639795,-445.3117174162,361.2022013139,-950.0202982538,893.5872079079,-943.0630999151
1905,990,-813.2616495166,295.7794507556,-969.817538494,-797.7849510514,865.4830901712,-99.9515805051,303.0311368817,308.4581806819,564.5400689283,944.7827880051,198.881728747,-586.2074478169,480.6651855791,-984.9414609785,942.481899073,-940.7196983004
1906,1396.75,-1396.4361642282,-14.8045620389,-1396.7151281979,-982.4032498094,1126.5035145468,4.9349361513,306.680795257,537.930675519,-29.6074608124,1396.6715388533,-9.8698106986,-992.871803036,825.7726044219,-1396.7412820223,1362.6655687734,-1289.007816437
1907,1728.25,-1376.6691785282,-551.1894205755,-1687.9417198809,-1008.5273785055,1254.8884580288,186.6317029819,226.8790388814,788.6255830868,-1044.8110046274,1637.998255538,-371.0806014677,-1403.4673452934,1188.319410094,-1718.1433787499,1713.293309453,-1537.8289086245
1908,1488.75,-430.8405292794,-887.4014662303,-1355.8586063913,-669.0506818058,944.2396313174,314.5171396244,62.4235577577,781.1297459326,-1425.0449118643,1195.3640450642,-614.8365652552,-1329.9427610522,1150.9943879749,-1455.1479414075,1487.4407087131,-1267.364542079
1909,1619.25,531.445902436,-1319.5670388464,-1303.5486339726,-492.5756971512,862.0951783331,505.5687079616,-77.3250809717,955.0830762001,-1529.554123032,938.4633144083,-960.5891532638,-1542.5108573608,1370.6795635723,-1538.3012851942,1617.4026692054,-1307.5881920758
1910,1807.5,1483.175165968,-1724.5137521179,-1200.5057101624,-273.8591271502,763.0726546861,740.6558508786,-247.7239591186,1177.296877953,-1033.076801141,541.3950209934,-1351.2373181153,-1786.6329865075,1638.5287222598,-1648.7829331235,1790.4438248877,-1371.5058553145
1911,900.25,900.0769738355,-900.2067424196,-445.0201348498,4.4126316835,274.8330758663,452.6702365417,-202.7819760989,638.1310735942,17.6494665941,-8.8251573514,-782.5644651262,-900.2391855399,857.2729104024,-778.1643267648,877.1143213227,-635.0108624374
1912,1165.25,929.3219884713,-1104.6945300775,-352.9496275335,187.8327198962,213.9290610615,687.9436782966,-363.1342671462,887.8850261602,702.9709839273,-370.752690775,-1110.5107486756,-1150.0114920454,1145.4439834987,-940.5004295542,1107.222229963,-754.6308652715
1913,1564,455.0014378594,-1256.5266111014,-153.6441773131,490.351088628,92.2818017852,1050.1896273251,-618.5861004884,1267.4788169067,1496.3521281924,-931.2555372152,-1556.4348578652,-1485.143700078,1561.2751420103,-1158.9640834206,1436.4704091218,-916.2933202271
1914,2128,-695.2178688601,-1234.6984196689,235.5893025566,974.9219873776,-141.5393677366,1585.8307027928,-1013.38175016,1817.0055020747,2011.2324865161,-1733.1773747852,-2114.9188354452,-1891.5367082158,2123.2876883222,-1418.9873086394,1871.2138916871,-1107.643898295
1915,1756,-1439.3156757502,-527.3033630571,552.8289128565,1038.6508784168,-335.3635938393,1423.7808066862,-971.2097837235,1566.4301680094,1005.9355772313,-1674.9588542137,-1666.708190749,-1415.8885382558,1723.6784096598,-1027.8055334118,1462.9721651486,-793.6198893363
1916,1684.75,-1684.4766630294,15.174064407,851.1206302239,1196.6509657184,-526.3856252488,1461.5587645165,-1053.8105965954,1557.9538306693,-30.3468978547,-1684.6816643715,-1453.9519370692,-1185.921173074,1600.4064283898,-837.9907758234,1314.4830881389,-641.2194819272
1917,1263.25,-1008.6924124127,400.9799698985,850.8017713923,1025.2654557417,-541.9075039247,1155.546602308,-875.2902305187,1202.2826517641,-760.4868043832,-1197.92137732,-933.7756198872,-737.9914008732,1141.1120977757,-510.4043616529,910.8608976449,-387.7073480954
1918,525.5,-153.6798644257,312.563178609,426.920391746,469.2559005271,-283.1172582088,500.2483962306,-396.5961078513,511.2456482587,-502.5263667412,-422.4387640568,-306.4134936836,-236.5357263089,442.7130765003,-160.9403369846,344.7633641169,-121.5653615818
1919,1589,516.7339827296,1293.4471961695,1455.2751517022,1513.3090554664,-1017.037814738,1555.2095061526,-1287.8001980037,1569.9632303236,-1502.6333521829,-922.992605995,-638.0401498638,-484.5788920737,1220.8829114182,-325.9515178253,930.8553324881,-245.2273545752
1920,1007.5,824.8830194507,960.7616489267,986.6371774019,995.7468582159,-736.7407627794,1002.2707234656,-866.1204135417,1004.5574173865,-578.467159156,-303.3039794525,-203.9689441275,-153.4419901891,687.2185230764,-102.5165688258,514.6762858792,-76.9457287557
1921,1299,1298.8248662944,1298.9562158357,1298.9805403107,1298.9890539128,-1053.4150021223,1298.9951350686,-1171.6774998698,1298.9972634753,21.3299483205,10.6653336466,7.1102668126,5.3327117596,760.077517957,3.5551467208,560.8679312447,2.6663614969
1922,1007,805.043847944,955.1775109579,983.8566733893,993.9599472651,-883.998595171,1001.1974505818,-943.5999647047,1003.734692759,604.9408259388,318.8807340687,214.6509870169,161.5321120789,482.2815399076,107.9475101542,351.6647645261,81.0288007563
1923,1356.25,398.6936757078,1090.9038363162,1236.0765551851,1288.206580969,-1262.5791613379,1325.8662999092,-1308.1848840742,1339.1311059675,1296.3245795134,805.8181447514,558.1476616646,424.1908382416,495.2856992235,285.4691178833,357.8636214816,214.8067585771
1924,1461.5,-473.0699402398,849.8795598023,1177.9341296383,1299.6309527422,-1416.7017304542,1388.8003781081,-1438.5861368432,1420.4564209142,1382.8185280945,1188.985695385,865.1320339886,668.5369374047,359.08001466,455.2095778505,257.7831974403,343.927036279
1925,1105.75,-904.3121760189,333.721346236,735.7328558742,892.1029764272,-1097.4456298608,1009.0142882742,-1101.5104743584,1050.9819048595,636.3195351425,1054.1883729042,825.4575866071,653.3263671013,135.263269218,452.2977211512,96.7353987887,343.6860459167
1926,1495.75,-1495.5855598876,-11.0896640647,741.463211168,1053.7268852685,-1495.7434222798,1293.5052494297,-1495.7466440191,1380.8294701266,-22.1787185319,1495.7088894069,1299.0382476988,1061.5685158116,-4.4358997637,751.0740524061,-3.1685021061,574.9591610974
1927,1407.25,-1126.3677739478,-444.5624324051,428.3859065762,823.0255401559,-1395.6357002861,1136.4855101429,-1401.3203369006,1252.7081172173,-843.5924373249,1335.1841843709,1340.4618896287,1141.482160505,-180.4260363331,829.9115903127,-129.0498968961,641.1512579398
1928,1523,-450.0306553848,-903.9171178402,152.0301085917,686.6087785375,-1474.0712093331,1129.396045545,-1497.9703679531,1297.1573092175,-1454.9918931781,1225.7499109017,1515.3929675439,1359.4474558567,-382.940034229,1021.7600365582,-274.9795933055,798.0676131405
1929,1221.75,393.6241843274,-993.3738998237,-133.3250028925,373.5093709603,-1134.7021775542,815.4088668319,-1177.0751590112,987.1697261542,-1156.6041085923,711.2533709228,1214.4535833467,1163.2556951525,-452.9062052497,909.824951511,-327.3639145336,719.8395614751
1930,1512.5,1235.5755001795,-1441.6074698096,-473.8825499075,231.5436804504,-1323.4337192274,886.2586792988,-1415.0235216424,1148.4480978001,-872.3585463308,457.6288375849,1436.3466082019,1494.6717947575,-732.2427471897,1225.6434242338,-534.1953605178,984.2373782068
1931,1589.5,1589.360774442,-1589.4651932294,-800.8154414067,-5.259532388,-1283.4548249801,791.7114707657,-1430.7834393184,1122.0851623806,21.0375536898,-10.5190071895,1373.0276322073,1589.4912982835,-937.6854281876,1378.2972092615,-692.3647880794,1125.804218488
1932,1653.5,1325.0441016036,-1569.2390945935,-1111.6880204969,-263.9369309983,-1202.421417843,669.2854802356,-1417.8776941521,1071.8308016181,989.1007930467,-521.1054730083,1224.0147037858,1632.298853291,-1135.0088034515,1511.9917975789,-850.6968287386,1259.0635340216
1933,1916.25,569.1468615847,-1543.1528984536,-1554.9952679443,-597.8910104853,-1217.7394746051,588.3257517319,-1548.2491041261,1123.9006659082,1829.777558188,-1136.0867900359,1119.8231017312,1820.5879275885,-1479.5690705366,1823.7014208332,-1129.1318674419,1552.0506936538
1934,1585.5,-508.4262348942,-924.0401654082,-1451.0539199749,-724.135542473,-846.2629889455,326.4691868154,-1192.1629508412,826.3453719266,1501.769960304,-1288.3943583827,638.9466107004,1410.4743762747,-1340.764410156,1551.5244503585,-1045.254872575,1353.1310270242
1935,1273.25,-1038.9590096933,-386.2065531604,-1246.4720351441,-751.4745733185,-539.3658136425,130.5661590014,-878.3216288854,576.3464938829,736.0229199401,-1213.2642172239,259.7557085103,1027.8382791839,-1153.3646784837,1266.5378164996,-921.8007803924,1135.3370783556
1936,1007,-1006.9317458762,5.8622479754,-1006.9924161323,-714.1261386167,-308.949127423,-1.9540924695,-626.5438437488,384.0077983668,-11.7242972784,-1006.9829363245,-3.9081775807,709.9808857599,-958.4359324778,1006.9981040313,-788.3475197275,930.9065532015
1937,1345.25,-1079.3060063947,422.9427605466,-1314.7878892974,-1090.5643747907,-249.0811730064,-143.1418080484,-739.2768867972,413.8936078951,-802.9919719775,-1277.0344489485,-284.6583367073,787.6337390801,-1321.9894597741,1337.6127934827,-1123.9071345745,1279.99595462
1938,1887.75,-563.5522021819,1117.9790679684,-1721.7169737524,-1684.3492880126,-114.3854039521,-395.8717249937,-891.9307830664,438.1607547774,-1801.6683873332,-1521.0926553253,-774.1386986794,852.3893115656,-1884.2813064569,1845.775078348,-1663.7486410869,1836.1958543339
1939,1209,385.868719169,981.8849936411,-975.5637244759,-1150.8214364775,78.4926932458,-375.649076339,-473.4693735574,187.5338413444,-1145.768882265,-705.3955339115,-714.11232974,370.528030443,-1206.4492932183,1149.1600286495,-1112.43325746,1194.3668022641
1940,1371,1117.4583700911,1306.0774145117,-913.8511192949,-1354.6721255152,259.6920304215,-559.7995692418,-421.7304005731,105.7958314839,-794.3096317642,-416.8966146451,-1022.0162091491,210.9607365181,-1346.1801697156,1251.5052705749,-1304.5246142686,1366.9119364614
1941,1247.75,1247.6869824899,1247.734245523,-620.2514054039,-1247.7460613745,387.9604991575,-625.6841740876,-275.9036409587,-1.5675490294,12.5401844164,6.2701713773,-1082.6671956767,-3.1350955848,-1185.903332314,1079.5366491215,-1216.8636913828,1247.7490153433
1942,1569,1260.3126190659,1489.8307788663,-480.0044613386,-1549.0812586887,670.809659014,-924.2927026001,-208.4502021945,-125.0050101345,934.5443286561,492.1028859322,-1493.7726457179,-249.2152763765,-1418.3706854604,1267.8501488426,-1555.0914806548,1564.0123872404
1943,1366.25,409.944421535,1101.5274913551,-138.5478069685,-1298.3838025723,734.2438374812,-915.791494072,-59.4610862468,-215.3162699794,1303.2975998414,808.2550638807,-1359.2069627854,-425.2511772095,-1152.1827327386,1013.886089206,-1364.9554724321,1349.1767735854
1944,1710,-543.1879604199,998.8114405837,183.8984887228,-1521.8520892975,1092.3898429438,-1272.5105924345,78.9382907638,-401.0816171936,1621.433575468,1387.9753982543,-1700.0827467643,-779.7860080182,-1315.592805937,1142.285775164,-1708.1770242722,1662.2976677928
1945,1294,-1053.5027789403,394.4638158635,403.4665027314,-1045.1966747286,944.8387634554,-1047.9794021197,175.3053851334,-401.2178354094,751.3773318147,1232.409955321,-1229.492082599,-762.8891866689,-884.1468831998,759.0620348383,-1282.0702094438,1230.2277222325
1946,1745,-1744.93758731,-7.3793679956,876.7570197635,-1231.2895684703,1413.4676332711,-1512.4427261036,390.3542810426,-669.4866328088,-14.7586040233,1744.9843967578,-1508.7485305032,-1236.5075812854,-1023.2957782063,870.3688874589,-1700.7788025701,1611.4628908201
1947,1584.25,-1274.0635689516,-495.6878319005,1063.260433863,-928.5888796479,1389.5294186109,-1448.157174627,491.3117647107,-720.6702192813,-941.5997476478,1504.7064949038,-1174.446811176,-1283.5773272749,-760.9573294968,642.4086394782,-1506.1410333554,1410.8446043208
1948,1445,-435.7682161959,-853.9144944305,1171.2397495329,-653.4977259134,1344.3574060421,-1374.8575268142,569.4053147731,-756.2145152188,-1377.7267732586,1165.6993764267,-846.2992668755,-1288.7845910881,-529.8378665402,444.7378789382,-1328.0822969636,1231.3263608696
1949,1614.5,510.4132139586,-1309.7084377708,1476.5566917682,-496.0272055135,1564.3781914529,-1579.637779502,766.5842278998,-950.2037483347,-1531.6946827016,944.0731211256,-652.9859003031,-1536.4137663372,-399.1630294838,333.6985699252,-1420.9007254328,1305.2674387461
1950,1389.75,1130.1704324056,-1323.2647922725,1360.0686222685,-214.9393140393,1379.040234661,-1382.3097392223,766.7989510387,-903.5189955983,-808.7767653785,424.7061949538,-285.6893509052,-1373.0280965007,-172.2007366016,143.6135347074,-1159.0618754777,1055.9632981752
1951,973.5,973.4770597584,-973.4942649227,973.4974510754,1.6707928876,973.4990823869,-973.4993627686,607.7134753029,-688.9589127357,6.6831223354,-3.3415808536,2.2277229994,-973.4985662296,1.3366345463,-1.1138622288,-760.517312055,687.77748332
1952,1048,843.7989908286,-995.6418388126,1024.6207647179,165.6371832113,1039.5633384508,-1042.138801078,724.9417613569,-797.4621520817,621.5362122006,-327.1105758086,220.1278912562,-1034.827678185,132.7104568191,-110.6829674694,-756.8113652957,679.9692022417
1953,1392.5,422.0497933846,-1124.0019099824,1270.9334955531,432.3676620363,1348.3196508814,-1361.7692797529,1049.4667444361,-1127.1930223759,1327.0004604008,-821.9951072579,569.020474044,-1323.6746030748,347.9804147465,-290.9307112032,-915.2463069156,817.6136864725
1954,1656.75,-521.2663039286,-969.8485999027,1338.4180539692,754.3288058305,1539.6852869101,-1575.1578767561,1341.1605358216,-1413.250652142,1572.6099334828,-1343.2104286994,976.4515734583,-1475.0622411256,611.710535934,-513.5155555514,-972.6813351015,864.605781105
1955,1544.25,-1254.3798001828,-473.0919868629,1031.1644079449,909.432724776,1352.4038654421,-1410.1566755983,1326.2917414413,-1376.4264505842,900.6882809238,-1469.9972906322,1149.5251307769,-1248.0545587459,745.4608287747,-629.4173597587,-790.9856377234,700.1130541793
1956,1722.5,-1722.4760584329,4.5408891944,858.6269846243,1219.5958206794,1392.4633699247,-1490.9713664279,1552.4813547669,-1591.8165803761,-9.0817468312,-1722.4940145978,1493.2400849411,-1216.3849243481,1013.9289982134,-862.5605106265,-746.1956131614,658.1232593062
1957,1337.5,-1078.1523842692,416.4597435767,411.2091442778,1083.0330459025,974.0879178114,-1081.4107638801,1252.5464203247,-1272.2937846454,-791.5135414474,-1271.0104374001,1272.7188572746,-784.8220635807,916.5473137672,-787.0559127306,-469.0775148436,412.5224546042
1958,1650.75,-502.8269962781,973.3791394914,170.0135077682,1471.6965001344,1051.0480269101,-1225.8926055019,1591.5521544054,-1605.3626630916,-1572.3042244788,-1333.2323928344,1641.9716713989,-747.7198499387,1272.8996848254,-1105.5147589589,-438.1064965365,384.4298147277
1959,1716,537.3133617483,1390.4470016437,-181.826370284,1632.5843094341,918.2275283575,-1147.3103217074,1688.6118100769,-1695.0177985775,-1629.7086706791,-1005.6406592914,1706.3396997871,-528.5115633453,1449.6600312372,-1276.0623126257,-305.3623337429,267.5269379064
1960,1436.75,1165.7224526917,1367.3153067974,-445.800915479,1419.2851773941,610.6986293491,-843.7256951123,1431.0393964903,-1432.3771397787,-839.8462512809,-441.2475657696,1365.837510928,-223.3386391322,1300.499037528,-1162.9176728846,-127.9719039194,112.0102314056
1961,1490.25,1490.2399103669,1490.2474775896,-746.7074790098,1490.2493693973,459.4693683672,-744.3333399444,1490.2497940889,-1490.2498423493,5.4837988459,2.7419040639,1289.6794188056,1.3709526121,1417.6505077177,-1291.0510995105,0.783401567,-0.6854763786
1962,1352,1091.1136557795,1285.1244419537,-905.7897340353,1335.1764388128,252.4466937317,-549.2159318448,1346.4988960673,-1347.7875472928,798.3576831043,419.9513884881,1003.7175686996,212.621441156,1328.2223709997,-1235.4213290242,121.8389218996,-106.6429902177
1963,1492.5,456.8867251228,1206.1218195618,-1208.347008032,1419.1006070212,92.8083700227,-460.4879697192,1468.3989327911,-1474.035940196,1420.8486092496,879.1054580521,876.0443813987,462.287483231,1489.6116461863,-1419.6855566441,267.1344683448,-234.0390929106
1964,1712.5,-533.6264965248,1004.6942009142,-1565.0784528453,1525.3188304524,-108.4599462708,-355.28819253,1650.6089720236,-1665.0472586611,1627.236618383,1386.8113832275,695.1155921423,778.497729905,1709.0619327733,-1675.239251644,456.2305025701,-400.3421991561
1965,1404.5,-1138.2470660706,432.4073575368,-1374.0420249788,1135.7676663078,-263.8408090939,-146.250172508,1314.7721963933,-1335.6283048306,822.8085236444,1336.2799583725,290.9102328762,826.2276067584,1379.4956605429,-1396.8647525947,493.9578135743,-434.4160233409
1966,1144.25,-1144.2475077385,-1.1941043046,-1144.249723082,808.6846445462,-354.0469293487,0.3980348324,1030.7855519784,-1057.0348780958,-2.3882073087,1144.2493769345,-0.7960696167,809.5290039123,1088.0987245277,-1144.2499307705,496.7788324119,-438.1613047601
1967,1766,-1426.8859120432,-547.2090456725,-1727.1919015258,1037.396940747,-752.4914024469,185.1149668522,1515.7916681976,-1573.3402361472,-1040.5539841895,1679.0825650736,-368.1903519969,1429.1828390129,1597.6585020722,-1756.271177537,906.163130249,-802.0950700013
1968,1345.5,-413.9263424319,-791.6540773147,-1228.9107444832,610.4095710968,-721.2843925263,280.0632458016,1088.3685117421,-1147.0998927536,-1280.2481138596,1087.95867195,-547.8582226213,1199.07064242,1135.8340878394,-1316.0299496406,791.0905337876,-703.2297533841
1969,1955.25,606.3092630025,-1582.480449956,-1581.3968824673,603.6794110799,-1246.6641695801,604.5561628401,1472.2350130391,-1581.6679062012,-1858.8683762164,1148.3719728412,-1149.8636713205,1859.7241008113,1506.2639246776,-1859.4392725959,1286.6726968743,-1149.4908425007
1970,1555.75,1259.3712332195,-1479.8014830681,-1040.6865803328,243.0605945199,-1134.2660970222,632.9731096766,1074.9901050235,-1182.8988930641,-913.4233188611,480.1516772952,-1156.4296364307,1536.6455706804,1064.7997387519,-1421.1625891946,1124.612971916,-1010.4990209237
1971,1317,1316.9998389862,-1316.9999597466,-658.3119949643,-0.1628093905,-1065.5519339483,658.5939958093,821.0633301378,-931.2020672316,0.6512375369,-0.3256187784,-1140.663980884,1316.9999899366,774.0078010324,-1140.5011831138,1029.7300655526,-931.3171908558
1972,851.75,688.9921231581,-810.0392284945,-263.1577130231,-133.2800615805,-746.4086543102,500.6662962656,469.2086356392,-553.1531298152,500.7673279339,-263.2764911648,-810.0778237777,841.2576820957,410.3074253177,-689.0655428069,710.8595633046,-647.6879476072
