Year,Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1962,3259.25,2630.3344545852,3098.0339034303,-2183.5763244487,3218.6936451187,608.5701823558,-1323.9881848114,3245.9885554787,-3249.0950913565,1924.5911824391,1012.3717181434,2419.6497675918,512.5639290591,3201.9295581957,-2978.2152119986,293.7156110957,-257.0829629194
1963,4138,1266.7318382301,3344.0081000647,-3350.1775003258,3934.4980313928,257.3139264012,-1276.7163944377,4071.1790846832,-4086.8078529522,3939.3444188106,2437.3456518726,2428.8587271208,1281.7055983986,4129.9919543844,-3936.119821369,740.6381440609,-648.8802455371
1964,3867.5,-1205.1389636845,2268.9955165172,-3534.5640387616,3444.7711397225,-244.9453093152,-802.3807793341,3727.7256638255,-3760.3330060566,3674.9416768446,3131.9667297123,1569.844994225,1758.1547272453,3859.7354890516,-3783.3505434939,1030.3483028845,-904.1304848094
1965,3720.5,-3015.1998642332,1145.4407787225,-3639.8172687317,3008.6319704508,-698.9104522847,-387.4145723148,3482.8123579077,-3538.0598847435,2179.6077694687,3539.7861054645,770.6169607804,2188.6648707332,3654.26386974,-3700.2743410669,1308.4870383788,-1150.7617051193
1966,4649.75,-4649.7398724992,-4.8523368934,-4649.7488747218,3286.153747851,-1438.6975833422,1.6174458921,4188.6782786206,-4295.3444827843,-9.7046685024,4649.7474681241,-3.2348915884,3289.58486864,4421.5748694538,-4649.7497186804,2018.6999134869,-1780.5029729588
1967,3201,-2586.3317125993,-991.8551275186,-3130.657574623,1880.3553835396,-1363.9439293502,335.5339801211,2747.4796885055,-2851.7905412837,-1886.0777482393,3043.4559970558,-667.3710740328,2590.4950553115,2895.8691195544,-3183.3658206659,1642.4848130957,-1453.854087811
1968,3869.25,-1190.3266447081,-2276.557070717,-3533.9746548433,1755.3528301496,-2074.1951956764,805.3769705075,3129.8178105225,-3298.7114530189,-3681.6053619852,3128.6392355573,-1575.474119567,3448.1635698131,3266.3144142494,-3784.5030714582,2274.9364904182,-2022.2755282656
1969,3630,1125.6374503001,-2937.9383881039,-2935.926701627,1120.7550247897,-2314.4820025959,1122.3827495765,2733.2633153468,-2936.4298680529,-3451.0636520473,2131.9985993676,-2134.7679973883,3452.6523390589,2796.4393538319,-3452.12354406,2388.759437235,-2134.0758257397
1970,4130.5,3343.6174699105,-3928.8574808375,-2763.0120006843,645.3233396526,-3011.4646400451,1680.5369947094,2854.0875004335,-3140.5842055607,-2425.1293707573,1274.7976879754,-3070.3086056738,4079.7779397045,2827.0321844221,-3773.1718300938,2985.8356937162,-2682.864345766
1971,3112.75,3112.7496194414,-3112.7499048604,-1555.9306471717,-0.3848025286,-2518.4485819267,1556.5971605583,1940.5959611895,-2200.9105806949,1.5392100555,-0.7696050513,-2695.9770740294,3112.7499762151,1829.3794856976,-2695.5922989654,2433.7830383819,-2201.1826771728
1972,3306.5,2674.672680038,-3144.5784667063,-1021.5802502034,-517.394216162,-2897.5640921359,1943.5903828614,1821.4715042455,-2147.3446712464,1943.9825885688,-1022.041347856,-3144.7282938903,3265.7687418251,1592.8165562816,-2674.9576956746,2759.5622495645,-2514.3295553427
1973,3867,1195.4930612414,-3128.630744257,-404.3943404569,-1194.8376274537,-3595.4050770603,2587.4597663977,1832.5194757079,-2273.0213257509,3677.5651374957,-2272.7425428521,-3845.7969547815,3677.7781395866,1423.6401693718,-2873.8025257963,3405.2255976883,-3128.4282080114
1974,4930,-1521.2916262117,-2898.7007678248,514.571717134,-2237.6667775413,-4775.0018969426,3663.4504613459,1937.9120191776,-2576.1602033571,4689.4106013462,-3987.7855833297,-4903.0720928746,4392.9201441283,1226.4815058509,-3299.0954392477,4533.1442736722,-4203.3675317106
1975,3054.5,-2469.7419054732,-945.0247615095,943.1374281622,-1794.908370359,-3030.3546245634,2470.9090962965,944.2159531593,-1386.9792054567,1797.3161019558,-2904.6339614716,-2905.2473288172,2471.4923006183,383.3028820494,-1795.7111370817,2904.8969833369,-2721.4442734752
1976,3926.25,-3926.2476325247,-2.1558408843,1961.8801931239,-2775.5156901221,-3926.249905301,3399.8728778259,874.2733174945,-1503.0087465078,4.3116811186,-3926.2494081311,-3400.9506274464,2777.040099888,0.8623363901,-1963.7473048037,3827.673605314,-3627.1757291895
1977,3720.5,-3013.0428206503,1147.1910119441,2488.1944807044,-3009.1730101423,-3691.2947200428,3398.4884739735,500.1610159869,-1150.324316392,-2182.5886490421,-3539.2192687251,-2766.0456388484,2187.9209412205,-465.2564236896,-1514.0661617874,3686.7274388117,-3538.2021164876
1978,3254,-1010.9098633581,1910.3684598308,2631.4345620251,-2898.6940997878,-3152.0502588363,3094.4469671356,146.7959750233,-760.3174992365,-3092.9884009102,-2634.1997547042,-1914.1755786186,1478.5427000446,-808.1430354646,-1006.4362710004,3250.6871491605,-3163.9268797421
1979,4139,1270.9341795718,3346.0213365464,3780.011273174,-3935.7657013576,-3848.9703999527,4048.2581229257,-184.4823886037,-648.5317116691,-3939.0414203453,-2436.2804057366,-1686.0711060562,1281.0422881456,-1522.0866796238,-861.9322306112,4134.8866064616,-4087.8756853603
1980,3244.25,2620.1222284665,3084.2737882849,3172.8209776776,-3204.0063436379,-2843.6991713142,3226.3433263782,-434.396726046,-255.4999825371,-1913.1433742394,-1006.1874881944,-677.0266657299,509.4128114098,-1561.5803167199,-340.3921309825,3215.036165722,-3234.1734371279
1981,3340.75,3340.7379056226,3340.7469764043,3340.7486561796,-3340.749244101,-2703.779895421,3340.7496640449,-742.1347580728,-1.1236702439,-8.9893512724,-4.4946797042,-2.9964536382,2.2473403606,-1962.1887879655,-1.4982269698,3257.2759421578,-3340.7498110253
1982,3485.5,2825.9812928665,3316.5243890469,3410.0586822466,-3442.9969509152,-2542.2557468351,3466.5883651633,-1075.6535309201,272.1620634705,2040.2303748275,1072.0896543,721.2558725133,-542.6621840413,-2384.4592610661,362.595306802,3315.3702253925,-3474.8579915167
1983,3983,1243.4140639625,3226.2057603912,3640.446411049,-3789.0807951031,-2540.9018127997,3896.4206045554,-1563.6773382419,621.4419494629,3783.9411287096,2335.7836782585,1615.9947178999,-1227.6627094528,-3067.2637607013,825.9512530385,3663.2229227647,-3934.2215117413
1984,3751.25,-1146.1831917929,2210.4588736603,3037.5027860088,-3343.9393245331,-2012.3295763282,3568.3545849954,-1775.8788186644,874.049246709,3571.8539518507,3030.7999159226,2201.239057324,-1699.98422238,-3165.818415313,1157.0315977717,3304.2595212724,-3648.0014359684
1985,3625.75,-2924.8203922873,1127.2523065322,2429.6593006243,-2935.4044110573,-1546.3703208842,3313.2612537905,-1995.7004474088,1118.7091934701,2142.7759414742,3446.0651908978,2691.24854768,-2128.2537456904,-3279.4514622401,1472.5362225191,3027.0848661233,-3448.8480399904
1986,2951,-2950.9729273323,6.3202627487,1479.1475029101,-2088.9054664311,-914.3131881363,2556.6936931404,-1838.5062368432,1127.8388556354,12.6404965062,2950.9932318253,2553.5316063513,-2084.4363632201,-2805.785521739,1473.6751200506,2308.3101648367,-2726.9727750235
1987,4384.25,-3558.7545140872,-1345.2097576425,1361.2024422534,-2581.0765372762,-825.4899730777,3548.9082736772,-3027.7074273595,1988.1603624892,-2560.6472562546,4172.7759070484,4167.58634868,-3543.9655713935,-4305.8349209936,2574.2762337258,3170.9045707514,-3907.5396908447
1988,4740,-1486.9045496769,-2776.6591827709,503.1961045394,-2157.1086520695,-302.2823817197,3525.1063484324,-3567.3656770289,2474.1569260246,-4500.7460337315,3841.5834993833,4713.2147925144,-4220.7205857729,-4730.3515050894,3168.7892375861,3121.1379537528,-4043.0369161566
1989,4327.75,1315.7663828144,-3494.5477551269,-444.855982112,-1342.7380636687,267.2157959884,2898.6371440657,-3499.3184491658,2541.494187231,-4122.8847774775,2552.9504596912,4304.8255734326,-4114.1796940429,-4319.4925374255,3213.6152180282,2546.4073621139,-3502.8884308198
1990,3220.25,2594.6772891055,-3059.8627095625,-989.4366316337,-508.1767271489,599.8983357632,1895.2277896709,-2763.1075301784,2089.6834636972,-1907.2650124983,1003.6185834913,3064.4779676939,-3179.9003878242,-3163.8792722303,2603.4826075392,1653.8581677917,-2450.1496044223
1991,3656.25,3656.1868770565,-3656.2342192301,-1821.9194285722,-5.3711469923,1125.755993432,1831.2251570715,-3292.8345746702,2583.459483552,-21.4844720569,10.7422823933,3169.9800722231,-3656.2460548054,-3478.6258070899,3164.6134813921,1589.1521407206,-2587.2574590375
1992,3201.25,2601.4720530714,-3047.61906842,-2137.1374413015,495.8886063021,1359.4362495851,1305.0843513991,-2996.1252786964,2432.638995353,1865.5682028778,-979.8058870524,2383.4103967817,-3162.6090578255,-2898.2640745477,2923.1415289433,1127.4905218477,-2080.9298596512
1993,5381,1696.1170721368,-4363.5975390249,-4346.4433958357,1654.4852133681,2877.3632265873,1668.3748210471,-5185.7499196651,4350.7439555284,5106.6963760935,-3148.6786938994,3172.3163156905,-5120.3358951095,-4547.0805867373,5115.827054983,1436.3699978394,-3166.4156444525
1994,3320.75,-1004.5683212429,-1961.0533278997,-3030.5724133628,1502.5333147517,2113.227699141,694.1207462774,-3266.8039368034,2829.9220896927,3165.157665971,-2679.8601470289,1357.5755632244,-2961.3804552204,-2561.5716375076,3247.3954104924,596.1313621897,-1737.5043967626
1995,4094.25,-3295.0259384033,-1279.1057646247,-4002.7405754205,2400.6149509746,2980.5687403573,432.8177801249,-4077.3907425639,3646.3406879725,2430.1619550453,-3889.3150432183,860.7850767655,-3316.6143760856,-2806.9722204726,4071.3083685356,371.1708433514,-1862.0103785254
1996,2981.5,-2981.4168423125,-11.1340613759,-2981.4907602188,2104.2987009937,2409.4636977367,3.7113614597,-2981.4983028966,2753.4804182174,22.26796748,-2981.4792105056,7.4227171687,-2112.171685019,-1756.0828395292,2981.4976900538,3.1811671834,-1143.5417948172
1997,3665.5,-2982.13968292,1119.1195740976,-3587.36618689,2961.2516820472,3209.3479675052,-378.4174229306,-3651.107044051,3484.9934211232,-2131.3688469042,-3490.4815754952,-752.7908681424,-2160.2959810111,-1770.8686776467,3645.9142206068,-324.5113293569,-1136.0946724318
1998,4089,-1295.0512071756,2390.0268423032,-3739.9674695743,3639.5563437168,3799.410773293,-844.7467126041,-4024.1308518244,3975.0513763634,-3878.500144488,-3317.7843047839,-1653.0469825526,-1863.7463939365,-1511.4227654051,4000.7904208474,-725.4597765522,-958.5862273531
1999,3822.5,1150.5498229479,3082.9760742032,-3098.7645802784,3632.9177181462,3700.8022080903,-1176.1119508546,-3685.9692182935,3774.8068975521,-3645.2354320283,-2259.8152083502,-2238.116244973,-1188.8713568672,-956.8538376335,3637.0684526219,-1012.4905786192,-601.9461239954
2000,4023.5,3234.2791662425,3821.1041908967,-2700.9494376185,3972.5788199904,3990.8856272814,-1631.1471711256,-3768.703826261,4010.7495017909,-2393.3220687592,-1260.0456389797,-2982.1844988914,-638.098557406,-511.2574302238,3678.0308802577,-1409.0506449117,-320.0635622564
2001,2874.5,2874.3819887549,2874.4704970373,-1444.7625817359,2874.4926242499,2874.4952795192,-1433.4887876785,-2591.4473278725,2874.4981560619,-26.0467410924,-13.0235042153,-2485.0374911489,-6.5117688164,-5.2094166572,2491.557774887,-1243.8452463479,-3.2558864968
2002,3483,2836.8851434016,3317.54125479,-1086.6580533778,3441.3867256118,3456.3483615498,-2042.8483791125,-2992.3682682676,3472.5810980671,2020.7354312595,1060.7587014803,-3309.1484214265,536.7927018721,430.0523265979,2821.0032789696,-1782.4200254333,269.2016295402
2003,3277.5,1042.9861600675,2660.8639000916,-353.1277942635,3119.5342346695,3176.1063500155,-2189.1356632586,-2654.2197713797,3237.7677267007,3107.1186201862,1913.5855233539,-3258.4209382642,1005.2424626551,808.9219389974,2439.1989049377,-1922.7905905784,508.7891487987
2004,3380.5,-1012.3748672992,2000.6807605282,342.1308342337,3015.8814267943,3145.5962294346,-2508.4211702909,-2548.9382677179,3288.0820711532,3225.3491869968,2724.8957309322,-3363.1423910186,1527.1671386974,1238.1456341509,2266.1869919396,-2220.5165969574,785.0455676972
2005,3235.5,-2597.7790763438,1015.7130619643,989.2172406371,2622.4797293769,2838.5062395237,-2614.2946115617,-2239.3837289377,3078.4325081443,1928.7312203908,3071.9354201798,-3080.5696714774,1895.0093189764,1552.8498247368,1906.2853757923,-2335.298859797,995.8481524814
2006,2683,-2682.8477282808,14.2923934767,1333.239801486,1902.2139064387,2173.9480248393,-2321.1604196379,-1676.0138555965,2480.133959182,28.5843813732,2682.9619318001,-2328.2956495543,1892.1076222433,1572.3991176853,1345.6237610516,-2095.105380607,1023.4376114412
2007,3683.25,-3003.3872715868,-1118.9513828644,2454.5474677049,2173.1259606342,2690.5004082186,-3362.0709780524,-2033.9072688912,3284.0901903728,-2132.1340153402,3509.1706093158,-2746.1841328074,2973.86181954,2515.4598219562,1504.2637072794,-3070.7575260921,1667.6576938919
2008,3523.5,-1126.5883541436,-2054.9353011926,2842.7563194086,1608.4911744004,2252.0885727512,-3348.9926949335,-1674.6789063349,3006.8730354805,-3338.5402394322,2862.2182233213,-2081.7753861698,3134.933554619,2709.8245903533,1095.1256454315,-3100.0810974355,1836.781641486
2009,2660.25,792.6346660206,-2143.0744775651,2426.0538092384,829.4022496827,1430.6447395713,-2601.0420708369,-1049.6004432611,2154.4543853629,-2539.4212625562,1576.122408352,-1091.417874684,2527.6514733486,2242.8075467229,558.1309955886,-2444.4363301191,1560.5307955599
2010,2990.25,2398.0261421486,-2838.3351400125,2922.4107947604,476.5833663052,1279.6376327034,-2973.2418285041,-928.8828098528,2276.6970015347,-1786.3554193027,940.9828348435,-633.3326212726,2952.0269913165,2702.6140293185,318.477772747,-2842.3180307735,1938.6195670381
2011,2666,2665.8000755377,-2665.9500184159,2665.9777859241,8.1624415218,830.0471938231,-2665.9944464752,-597.7872165502,1888.0303319991,-32.6490009513,16.3248065295,-10.8832421376,2665.9875045747,2533.4911991216,5.4416324042,-2598.1159411638,1882.258607485
,,-7.2784517343,-91.1259655648,-294.9424635919,632.9994714307,95.4996253847,-391.4792428473,14.67049288,-73.297732983,-31.0485618027,-41.1250725117,-320.2404065677,-142.954620076,-511.6940559917,805.4940864124,-32.8953656779,-912.9801482695
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,1016.9890496631,,,,,,,,,,,,,,,,
20,9995.2131892121,,,,,,,,,,,,,,,,
30,189544.974828304,,,,,,,,,,,,,,,,
40,421124.354232673,,,,,,,,,,,,,,,,
50,270950.985385823,,,,,,,,,,,,,,,,
60,802076.720825676,,,,,,,,,,,,,,,,
70,1297.3284444254,,,,,,,,,,,,,,,,
80,838905.308794572,,,,,,,,,,,,,,,,
