Year,Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1913,3422.5,995.6792973618,-2749.6562189864,-336.2194353287,1073.0349110162,201.940196042,2298.1291557034,-1353.6514890802,2773.6229225467,3274.4662140271,-2037.8657775697,-3405.9452052708,-3249.9388193842,3416.5371953518,-2536.1602145184,3143.4270941301,-2005.1239696147
1914,3396.5,-1109.6369791276,-1970.7016834612,376.0239972432,1556.0726175414,-225.910931634,2531.1437885506,-1617.4582304598,2900.1217987767,3210.1274156259,-2766.3237563242,-3375.6211581718,-3019.0810288791,3388.9786811027,-2264.8451098655,2986.6437890579,-1767.9100096612
1915,4416.25,-3619.8051554851,-1326.1409322898,1390.3363817782,2612.1537254032,-843.4222501667,3580.7357559954,-2442.5428287979,3939.4915885373,2529.8764196741,-4212.4356719368,-4191.6856761933,-3560.8871053942,4334.9628568679,-2584.8782385706,3679.3000138597,-1995.9133464016
1916,3591.5,-3590.9173083662,32.3476197166,1814.393674699,2550.9849790044,-1122.133238214,3115.7075546881,-2246.4821235628,3321.1996930397,-64.6926153111,-3591.3543241372,-3099.4915459172,-2528.1115258022,3411.6988796926,-1786.4038411455,2802.1759970624,-1366.9326424345
1917,3743.5,-2989.1470776703,1188.2592656364,2521.2558331344,3038.2594368248,-1605.8822409991,3424.3330344272,-2593.8246411612,3562.8300865852,-2253.6175358865,-3549.9059378566,-2767.1395472375,-2186.9549251288,3381.5579956647,-1512.5262045104,2699.2343323441,-1148.9273363112
1918,5198.5,-1520.2754999373,3092.0260399596,4223.302866778,4642.1061824742,-2800.732762699,4948.6989301707,-3923.3203932728,5057.4890627461,-4971.2337155168,-4178.968439485,-3031.1903842327,-2339.9257339999,4379.5317377483,-1592.0996038337,3410.5658389379,-1202.5833152859
1919,3288.5,1069.4019523009,2676.8414755213,3011.7509983465,3131.8545178737,-2104.8010407588,3218.5692013737,-2665.1547835967,3249.1026324224,-3109.760716585,-1910.1706638228,-1320.4499891927,-1002.8556869631,2526.6667427306,-674.5698970224,1926.4428954608,-507.5079644559
1920,3538,2896.7107918773,3373.8706837742,3464.7368075909,3496.726932375,-2587.1849317255,3519.6365455297,-3041.5226035836,3527.6666428918,-2031.3814482321,-1065.1012201519,-716.2700985837,-538.8364876319,2413.2795381084,-360.003593554,1807.369428725,-270.2074325933
1921,4207.5,4206.9327366695,4207.3581817773,4207.4369694821,4207.464545295,-3412.0428186525,4207.484242341,-3795.0985994629,4207.4911363144,69.0883430011,34.5453358875,23.0303676781,17.272813494,2461.913900542,11.5152269652,1816.6680682928,8.6364249408
1922,3566.25,2851.0304098613,3382.7227392788,3484.2888395974,3520.0691776905,-3130.6454717265,3545.7005046052,-3341.7213248543,3554.6860457317,2142.3736052673,1129.3032948088,760.1778375859,572.059478353,1707.9806769569,382.2917657272,1245.4066201503,286.9602390239
1923,3606.25,1060.1209718129,2900.6982191449,3286.7104716213,3425.3234894891,-3357.180534986,3525.4601615097,-3478.4455212479,3560.7310974342,3446.9091353882,2142.6593065511,1484.106916039,1127.9175744949,1316.9578269676,759.0584378741,951.5544220962,571.1682013777
1924,4114.75,-1331.8949959641,2392.7758595256,3316.3903249601,3659.0191329428,-3988.6236369389,3910.0693505442,-4050.2376370685,3999.1947026731,3893.2278744283,3347.5052275645,2435.7181230617,1882.218517404,1010.9644134945,1281.6104074309,725.7703808879,968.3022733691
1925,3192,-2610.5036996177,963.3629095051,2123.8609775723,2575.2590556234,-3168.0275383364,2912.7502673943,-3179.7616406529,3033.8993807928,1836.8817148315,3043.155583369,2382.8719117791,1885.9758207437,390.4683294994,1305.6607062306,279.2488292412,992.1282917169
1926,3617.5,-3617.1022984412,-26.8205647695,1793.2429660038,2548.4586377796,-3617.4840916578,3128.3672002755,-3617.491883496,3339.5624992031,-53.639655216,3617.4005732439,3141.7488624774,2567.4237713176,-10.7283084708,1816.4869694662,-7.6630829811,1390.5497344275
1927,4238.5,-3392.5100798564,-1338.9787669207,1290.256645957,2478.8728029496,-4203.5188599486,3422.9837162839,-4220.640432015,3773.0348941735,-2540.8182949737,4021.4447791479,4037.3407135841,3438.0331407357,-543.4256564206,2499.6129156443,-388.6857260572,1931.0851709205
1928,3627.5,-1071.8885111021,-2152.9608305746,362.1071693476,1635.3731740937,-3510.960808835,2690.009294297,-3567.8841167103,3089.5851209365,-3465.5174606063,2919.5061075482,3609.3814771934,3237.9485529351,-912.0912502731,2433.640533562,-654.9497535889,1900.8471875686
1929,3680.5,1185.785807585,-2992.521087212,-401.6391840767,1125.1902924653,-3418.2699934424,2456.4046117248,-3545.9178414084,2973.8311251161,-3484.2491685484,2142.6380451658,3658.5196754718,3504.2869539668,-1364.37183419,2740.831376334,-986.1779311978,2168.5037904718
1930,3765.5,3076.0724270583,-3589.0068942598,-1179.7717300341,576.4480851147,-3294.8030874385,2206.4178888593,-3522.8238484261,2859.1611981925,-2171.8123016254,1139.3067027609,3575.9095227665,3721.115135973,-1822.9818608549,3051.3456621173,-1329.9257058049,2450.3443620745
1931,4275.75,4275.3754836868,-4275.6563698966,-2154.1910183042,-14.1481255792,-3452.4894419054,2129.701365918,-3848.8029510321,3018.4055571241,56.590953249,-28.2960962506,3693.4400115823,4275.7265924101,-2522.3708522007,3707.615157282,-1862.459102001,3028.4098063543
1932,3815,3057.1776520216,-3620.5909560776,-2564.9167210134,-608.9624383178,-2774.259273705,1544.1935936491,-3271.3658319869,2472.9570657229,2282.0801484567,-1202.3086661789,2824.0798880814,3766.0841398883,-2618.7230633005,3488.5084413447,-1962.7507720821,2904.945498816
1933,3657.25,1086.2425881438,-2945.17726699,-2967.7789660479,-1141.1020994637,-2324.1109946508,1122.8463694828,-2954.9036065572,2145.0153739818,3492.2134244921,-2168.2731443491,2137.2331578898,3474.6745978724,-2823.8246487775,3480.6168408832,-2154.9993592703,2962.1591125194
1934,4439.75,-1423.7056930756,-2587.5164455195,-4063.2712968833,-2027.739372245,-2369.7231820692,914.1857913363,-3338.3194329846,2313.9494575914,4205.2874053986,-3607.7886172372,1789.1915577782,3949.639616566,-3754.4363229204,4344.6109608823,-2926.9443837998,3789.0655800886
1935,4296.25,-3505.6961675985,-1303.1532723466,-4205.8947425784,-2535.6549268563,-1819.9492455226,440.5614455996,-2963.6672280377,1944.730904649,2483.5173530671,-4093.843623207,876.477881553,3468.1721633174,-3891.7282544163,4273.6014876391,-3110.3762833386,3830.8988202514
1936,3516.5,-3516.2616528041,20.4712959338,-3516.4735167123,-2493.7681891218,-1078.8675338462,-6.823799572,-2187.9259449283,1340.9765868488,-40.9418980929,-3516.4404126962,-13.6475734485,2479.2927356253,-3346.9115755294,3516.4933791719,-2752.9533794653,3250.7774521679
